"key","en"
"SIGMA11","The Jakob Project... The program that gave birth to the New Generation Reploids... It only happened because of me!"
"SIGMA12","Wallow in despair and hopelessness! You are powerless in the face of the ruler of the new world!"
"SIGMA13","Now, X... You will be destroyed along with the rest of this decayed world!"
"FINALLUMINE1","Oh, Lumine! Are you OK?"
"FINALLUMINE2","Am I OK...? Of course."
"FINALLUMINE3","Now that you've defeated Sigma, I supose you're satisfied."
"FINALLUMINE4","But you see, he merely helped my plan along..."
"FINALLUMINE5","The New Generation Reploids have been awakened and the new world is at hand!"
"FINALLUMINE6","Lumine! What are you doing!?"
"FINALLUMINE7","Don't tell me you've gone Maverick, too..."
"FINALLUMINE8","Maverick? You know that's not the case, X."
"FINALLUMINE9","That's why you are hesitating. You don't have it in you..."
"FINALLUMINE10","...!"
"FINALLUMINE11","Old models like you have to worry if your actions are truly your own."
"FINALLUMINE12","Who knows what might be influencing you at this very moment?"
"FINALLUMINE13","However, we New Generation Reploids were built using data derived from hundreds of old model Repolids. "
"FINALLUMINE14","That's what grants us total immunity to all viruses. We can act how we choose, as it guarantees our own free will!"
"FINALLUMINE15","And that might include acting as Sigma once did before us... Do you understand what I'm getting at here?"
"FINALLUMINE16","No Reploid would choose to be insane like Sigma!"
"FINALLUMINE17","Think about it, X... Was Sigma really crazy?"
"FINALLUMINE18","..."
"FINALLUMINE19","Yes, he rebelled against your world. Perhaps due to a virus."
"FINALLUMINE20","Even so, his struggle showed all of us how this world is rotten!"
"FINALLUMINE21","Humans using Reploids to perpetuate their accursed cycle of aggression..."
"FINALLUMINE22","That's why our decision to wage battle against the old world was made consciously."
"FINALLUMINE23","In other words..."
"FINALLUMINE24","We possess the power to go Maverick at will!"
"FINALLUMINE25","...!"
"FINALLUMINE26","X... Do you really have what it takes to stop us?"
"FINALLUMINE27","You're merely a tool of the humans. Nothing but a tool of the old world..."
"FINALLUMINE28","And you think you can stand up to those of us who have evolved this far?"
"FINALLUMINE29","Ha ha ha ha ha ha ha ha ha! Don't make me laugh..."
"FINALLUMINE30","The world is changing! It's only natural that evolution take it's course!"
"FINALLUMINE31","Now, line up to be exterminated!"
"FINALLUMINE32","Lumine... I'm sorry but... I don't have other choice."
"FINALLUMINE33","Even if you were behind the Jakob Project..."
"FINALLUMINE34","I won't give up until I've put a stop to your evil scheme!"
"FINALLUMINE35","You had everything to be our ally, but in the end you became our enemy."
"FINALLUMINE36","And I won't let you get away with this!"
"FINALLUMINE37","Enemy... Ally... This issue isn't so black and white."
"FINALLUMINE38","Reploids, along with humanity, have irrevocably changed."
"FINALLUMINE39","The nature of their existence has also changed..."
"FINALLUMINE40","And you are not needed in our new world!"
"ENDING1-1","ENDING1-1"
"ENDING1-2","Unbelievable..."
"ENDING1-3","You may have defeated me... But it's too late to stop what's already begun..."
"ENDING1-4","I'll take on plenty more like you, if that's what it takes."
"ENDING1-5","Ha ha ha... You really don't have a grasp of the situation, do you?"
"ENDING1-6","Oh well... You'll find out... soon enough..."
"ENDING1-7","....."
"ENDING1-8","Ugh! I can’t stand this pain anymore... Just... Make it quick..."
"ENDING2-1","This is X..."
"ENDING2-2","The enemy... Has been dealt with."
"ENDING2-3","I'm headed back now..."
"ENDING2-4","Roger..."
"FINAL-1","Axl!"
"FINAL-2","X... X... Can you hear me? Communication has been restored. Status report!"
"FINAL-3","This is X, we've managed to stop Sigma's plans... But Axl..."
"FINAL-4","Axl has been injured, but he's fine."
"FINAL-5","We're heading back now."
"FINAL2-1","(Awakening...)"
"FINAL2-2","(That's how Lumine described it...)"
"FINAL2-3","(He said... this was evolution...)"
"FINAL2-4","(If he's right...)"
"FINAL2-5","(Then... What are we doing?)"
"FINAL3-1","I bet you've been thinking about what Lumine was saying a while ago."
"FINAL3-2","Well don't let it get to you. Just becoming Sigma could hardly be called evolution."
"FINAL3-3","..."
"FINAL3-4","Anyway. X..."
"FINAL3-5","Even if we Reploids are destined to join the scrap heap when that \""evolutionary step\"" does come about..."
"FINAL3-6","We still have to fight..."
"FINAL3-7","Not only against Mavericks, but against our own destiny as well..."
"SECRET2-1","Welcome, Mega Man X. I've been waiting for you."
"SECRET2-2","You are different from anyone I've faced before..."
"SECRET2-3","You exude an aura of peace and mercy. Who are you?"
"SECRET2-4","How keen of you to notice this so soon."
"SECRET2-5","I am Serenade."
"SECRET2-6","You mentioned I'm different from others you faced before?"
"SECRET2-7","That is because of my overwhelming power."
"SECRET2-8","Overwhelming...?"
"SECRET2-9","Correct. I've been training to be stronger ever since I lost the title of UnderKing."
"SECRET2-10","For twenty years I've been amassing power. Now I've choosen you to test my strength against."
"SECRET2-11","Serenade, was it? Hmm..."
"SECRET2-12","Okay, I accept your duel!"
"SECRET2-13","Then, come to me..."
"SECRET2-14","I honestly thought I was strong enough to defeat you. I was wrong."
"SECRET2-15","The kindness, love and respect that you possess in your heart makes you even more powerful."
"SECRET2-16","You fought this duel beautifully. You really are the strongest robot in this world."
"SECRET2-17","I wish I had something to reward you. The best I can offer you are my thanks."
"SECRET2-18","Mega Man X. We shall meet again, in some other place..."
"SECRET2-19","For now, farewell!"
"SECRET3-1","Finally, I've acquired it. This data contains information on all currently wanted criminals..."
"SECRET3-2","You, freeze. This area is restricted to S Class Hunters, as is that data! Hand it over and come quietly!"
"SECRET3-3","I know how this looks like, but fret not, X."
"SECRET3-4","My name is Red. I've learned that you have been struggling with these recent events, so I decided to... help. "
"SECRET3-5","With this, we'll be able to start our own Maverick hunting and take some load off your shoulders... For a price, of course."
"SECRET3-6","Sounds more like you're a filthy bounty hunter."
"SECRET3-7","You are free to think whatever you want. I'm not backing down... Get Ready!"
"SECRET3-8","Not bad... for an old timer..."
"ZEROSECRET1","He he he he he!"
"ZEROSECRET2","Finally, I understand the means now, I've never been so happy..."
"ZEROSECRET3","Z... Zero?"
"ZEROSECRET4","X! My mind is becoming very clear... Now I understand my real purpose."
"ZEROSECRET5","I don't care about the Mavericks anymore... All I have to do now is one thing..."
"ZEROSECRET6","Zero? What happened to you? This is not you. Snap out of it! You'll die if you keep this up!"
"ZEROSECRET7","I finally feel free from my chains, X. After all this time being Fragile, Weak, Powerless..."
"ZEROSECRET8","I finally Awakened my true form! LOOK INTO MY EYES X! CAN'T YOU FEEL MY HAPPINESS?! HA HA HA HA HA HA HA HA HA HA HA HA HA HA HA HA HA!!!!!!"
"ZEROSECRET9","..."
"ZEROSECRET10","Zero... This is what you told me before, right?"
"ZEROSECRET11","There are things that cannot be seen or analyzed."
"ZEROSECRET12","We have to feel it..."
"ZEROSECRET13","And now... I can feel, feel something strongly evil... more evil than Sigma!"
"ZEROSECRET14","This is our destiny, isn't it? I will fight! I won't run away! I'll defeat you and bring my friend back!"
"ZEROSECRET15","Then I don't need to explain anymore things to you now. I'LL DESTROY YOU!"
"ZEROSECRET16","ZERO!!!!"
"INTRO2-1_AXL","Hey Alia, It's Axl! I'm close to the site of the accident near the Orbital Elevator!"
"INTRO2-2_AXL","Damn, it's a total mess out here, Mavericks are around everywhere!"
"INTRO2-3_AXL","I'm on my way in! Get those rescue mechaniloids ready to roll as soon as I give the word!"
"INTRO2-4_AXL","Got it, Axl! Be careful!"
"INTRO2-5_AXL","S-Sigma?! But... how?!"
"INTRO2-6_AXL","To protect ourselves from damage during the accident..."
"INTRO2-7_AXL","We had to copy a sturdy Sigma body."
"INTRO2-8_AXL","We New Generation Reploids enjoy complete and total immunity to all viruses."
"INTRO2-9_AXL","So even copying something as dangerous as Sigma provides no risk."
"INTRO2-10_AXL","Wait, who are you?"
"INTRO2-11_AXL","I'm Lumine..."
"INTRO2-12_AXL","I'm the director in charge of the elevator and the Jakob Project."
"INTRO2-13_AXL","Got it. Hang tight, I'll signal my team to send in the rescue-"
"INTRO3-1_AXL","Well, well... Who do we have here? A little rookie?"
"INTRO3-2_AXL","What the heck?! Who are you?"
"INTRO3-3_AXL","I'm Vile. I'd say it's nice to meet you, but that'd be a lie."
"INTRO3-4_AXL","Where's your little buddy X?"
"INTRO3-5_AXL","X? What's your deal with him?"
"INTRO3-6_AXL","Ha ha ha! Nothing much... Just looking to take care of some unfinished business."
"INTRO3-7_AXL","You're not taking anyone down! Let Lumine go!"
"INTRO3-8_AXL","Not a chance. The Orbital Elevator is under our control now..."
"INTRO3-9_AXL","What are you planning to do?!"
"INTRO3-10_AXL","It begins now, kid... A new world will be born!"
"INTRO3-11_AXL","Ha ha ha ha ha ha ha ha ha ha!"
"ANTONION1_AXL","Antonion... You used to be such a genius. Have you gone insane? What are you planning?"
"ANTONION2_AXL","Insane? Ha ha. That's funny."
"ANTONION3_AXL","Are you saying that you yourself are perfectly sane? Are you even sure you're on the right side?"
"ANTONION4_AXL","I'm pretty sure. It's not too hard to tell good from evil. That much I know for sure."
"ANTONION5_AXL","Ha! I couldn't agree more!"
"ANTONION6_AXL","The problem here is the world we live in. But I plan to fix all that!"
"MANOWAR1_AXL","What's going on here, Man-o-War?"
"MANOWAR2_AXL","If you don't return the power to normal, the people of Abel City will suffer."
"MANOWAR3_AXL","... ... ..."
"MANOWAR4_AXL","He's so far gone becoming Maverick, he can't even talk..."
"MANOWAR5_AXL","What? What's a Maverick? Do you know what it is?"
"MANOWAR6_AXL","Maverick? That's an out of control Reploid like yourself."
"MANOWAR7_AXL","Sorry pal, but I'll have to take you down."
"MANTIS1_AXL","I hear you're a prototype of us New Generation Reploids."
"MANTIS2_AXL","So, why did you become a Maverick Hunter?"
"MANTIS3_AXL","Because I enjoy mopping the floor with the likes of evil Mavericks like you, Mantis."
"MANTIS4_AXL","Hmph. How dare you accuse me of being something that I cannot be?"
"MANTIS5_AXL","There is no such thing as good and evil. You haven't realized that yet, have you?"
"MANTIS6_AXL","I may be a prototype, but don't assume I'm anything like you Maverick creeps!"
"MANTIS7_AXL","You're awfully innocent for a prototype of us new Reploids."
"MANTIS8_AXL","I'll admit I'm a bit jealous."
"MANTIS9_AXL","How about I demonstrate to you with my Blades?"
"PANDA1_AXL","You have the same copy ability that we New Generation Reploids enjoy."
"PANDA2_AXL","..."
"PANDA3_AXL","Have you ever thought that power could change the world?"
"PANDA4_AXL","The only thing I think is how it comes in handy in whipping you Mavericks!"
"PANDA5_AXL","Such petulance. I suppose we have no use for you after all."
"ROOSTER1_AXL","Know where you are, chum?"
"ROOSTER2_AXL","The name's Axl, and I'm no chum of yours."
"ROOSTER3_AXL","Anyway, this is the waste disposal center..."
"ROOSTER4_AXL","It's so much more than that."
"ROOSTER5_AXL","It's the graveyard of all the Reploids deemed Maverick."
"ROOSTER6_AXL","Oh, so you thought you'd just start an uprising in return?"
"ROOSTER7_AXL","That's Maverick behavior."
"ROOSTER8_AXL","This is what you mean when you speak of justice? It's you who should be scrapped!"
"ROOSTER9_AXL","There's no place for Reploids and old models like you in the new world we will create!"
"SUNFLOWER1_AXL","Axl... The shape-shifter. The prototype of the Reploids who will lead the new age..."
"SUNFLOWER2_AXL","So what? You sayin' I should join you? Tough luck, chump!"
"SUNFLOWER3_AXL","If only you were a little smarter, you could have been chosen too..."
"SUNFLOWER4_AXL","That's where you're wrong. We may not be the good guys, but we're no monsters."
"SUNFLOWER5_AXL","Such concepts are beyond the grasp of halfwits like you."
"SUNFLOWER6_AXL","This guy is out of control, better take him down before he continues with his nonsense."
"TRILOBYTE1_AXL","The minerals we mine here are essential to the development of space."
"TRILOBYTE2_AXL","I don't suppose a half-baked prototype like you could guess what I'm getting at."
"TRILOBYTE3_AXL","You Mavericks never made a lick of sense to me."
"TRILOBYTE4_AXL","I've been chosen and you've been left behind. You'll never be as brilliant as me!"
"TRILOBYTE5_AXL","You're the one with poor judgment, Trilobyte. Getting fooled and used by Sigma!"
"TRILOBYTE6_AXL","Our brand new world will soon be born! Fools like you from the old world will fall!"
"YETI1_AXL","So you are the prototype who can shape-shift?"
"YETI2_AXL","If we turn Maverick this easily, I can't say I'm happy to be your prototype."
"YETI3_AXL","Strong words for someone as lowly as a Maverick Hunter."
"YETI4_AXL","Who you callin' low? You're trying to destroy the world, not me!"
"VILE1-1_AXL","Ha ha ha ha ha!"
"VILE1-2_AXL","Why don't you just give up now and get it over with?"
"VILE1-3_AXL","The world as you know it? Mavericks? Kiss it all goodbye!"
"VILE1-4_AXL","Mayhem, doom, and destruction! That's what we were built for!"
"VILE1-5_AXL","Hmph, whatever, don't think you're going to avoid getting beaten just because you said that."
"VILE2-1_AXL","Vile, was it?"
"VILE2-2_AXL","What are you up to here?"
"VILE2-3_AXL","What do you plan to do with Lumine and the Elevator?"
"VILE2-4_AXL","Don't worry about Lumine. Unlike you, he holds some importance to our plan."
"VILE2-5_AXL","I don't care if you were once a Class A Hunter..."
"VILE2-6_AXL","You're Maverick now, and I know just how to deal with scum like you!"
"VILE2-7_AXL","Ha ha! Did I make you mad? Bring it on!"
"VILE3-1_AXL","Ha! You're still concerned with justice when the world is on the verge of destruction?"
"VILE3-2_AXL","You've got it, buddy!"
"VILE3-3_AXL","Thought I'd dispense a little justice your way before I go after Sigma!"
"VILE3-4_AXL","The Orbital Elevator... the energy... the space minerals... the rocket data..."
"VILE3-5_AXL","The route to space..."
"VILE3-6_AXL","The thing that's allowed this world to survive this long - is ours!"
"VILE3-7_AXL","At times like this, how important is your precious term \""Maverick\""?"
"VILE3-8_AXL","I'll tell you as soon as I'm done turning you into scrap!"
"VILE4-1_AXL","So, you still refuse to give up your struggle, eh?"
"VILE4-2_AXL","Are you so blind that you've somehow convinced yourself that hope remains?"
"VILE4-3_AXL","If all I have to do is defeat you, then I'm full of hope, buster."
"VILE4-4_AXL","If I give up now, all my efforts would be wasted. I refuse to give up!"
"VILE4-5_AXL","Ha ha ha... I suppose it'd be a waste to just destroy you now..."
"COPYSIGMA1_AXL","Sigma!?"
"COPYSIGMA2_AXL","Did you think you could keep us away by running and hiding in space like a coward?"
"COPYSIGMA3_AXL","Run? Hide? You're mistaken."
"COPYSIGMA4_AXL","We merely chose to leave that ignorant planet behind."
"COPYSIGMA5_AXL","Whatever you say. Either way, I'm gonna toast you right now!"
"COPYSIGMA6_AXL","Which one of us will be \""toasted\""? Let us see... You are not one of the chosen."
"COPYSIGMA7_AXL","Only we new Reploids may live in this new world! I've no use for flimsy prototypes!"
"SIGMA1_AXL","Hmph. So you must be the one they call Axl.."
"SIGMA2_AXL","The Prototype of the New Generation Reploids."
"SIGMA3_AXL","I'm surprised you've made it this far."
"SIGMA4_AXL","Hey... Stop calling me a prototype..."
"SIGMA5_AXL","I'm me... And you... You're a Maverick."
"SIGMA6_AXL","You are a puny and weak prototype! Nothing more!"
"SIGMA7_AXL","Your copy ability is far from developed. That's why you were left out."
"SIGMA8_AXL","The Mavericks are one club I'd prefer to be left out of!"
"SIGMA9_AXL","Only the pure New Generation Reploids... my children, are worthy!"
"SIGMA10_AXL","Your children?"
"SIGMA11_AXL","Yes, prototype... My children..."
"SIGMA12_AXL","The New Generation Reploids born of the Jakob Project all bear copy chips containing my personal data."
"SIGMA13_AXL","And now, the final phase of that project begins! "
"SIGMA14_AXL","You shall be destroyed!!!"
"FINALLUMINE1_AXL","Oh, Lumine. Are you OK?"
"FINALLUMINE2_AXL","Am I OK...? Of course."
"FINALLUMINE3_AXL","Now that you've defeated Sigma, I suppose you're satisfied."
"FINALLUMINE4_AXL","Thanks to you, the plan has gone smoothly."
"FINALLUMINE5_AXL","But... Lumine, weren't you just used by Sigma?"
"FINALLUMINE6_AXL","Used? I don't think so."
"FINALLUMINE7_AXL","You see, he merely helped my plan along."
"FINALLUMINE8_AXL","The New Generation Reploids have been awakened, and the new world is at hand!"
"FINALLUMINE9_AXL","Lumine! What are you doing? Don't tell me you've gone Maverick, too..."
"FINALLUMINE10_AXL","Maverick? You don't really think that's the case, do you?"
"FINALLUMINE11_AXL",".........!"
"FINALLUMINE12_AXL","The copy chips we New Generation Reploids possess..."
"FINALLUMINE13_AXL","They were derived from data from hundreds of old model Reploids."
"FINALLUMINE14_AXL","That means, of course, that Sigma was also included in the mix."
"FINALLUMINE15_AXL","Do you understand what I'm getting at here?"
"FINALLUMINE16_AXL","Copy chip? Sigma? Does that means that I'll go nuts like he did?"
"FINALLUMINE17_AXL","Sorry, but prototypes like you don't have the specs to cause something like that."
"FINALLUMINE18_AXL","Besides, was Sigma really crazy?"
"FINALLUMINE19_AXL",".........?"
"FINALLUMINE20_AXL","He rebelled against your world. But he had his reasons..."
"FINALLUMINE21_AXL","The rest of us New Generation Reploids could turn like that at any moment..."
"FINALLUMINE22_AXL","This decision to wage battle against the old world was made consciously."
"FINALLUMINE23_AXL","In other words, we possess the power to go Maverick at will!"
"FINALLUMINE24_AXL","Axl... Do you really have what it takes to stop us?"
"FINALLUMINE25_AXL","You're merely a tool of the humans. Nothing but a tool of the old world..."
"FINALLUMINE26_AXL","You think you can stand up in front of us with your weapon to those who have evolved this far?"
"FINALLUMINE27_AXL","Ha ha ha ha ha! Don't try to be ridiculous!"
"FINALLUMINE28_AXL","The world is changing. Therefore, it's only natural that evolution take it's course!"
"FINALLUMINE29_AXL","Now, line up to be exterminated!"
"FINALLUMINE30_AXL","I won't let you come to me and tell me what I am or what I should be."
"FINALLUMINE31_AXL","You are the enemy here and I will not allow you to leave here alive!"
"FINALLUMINE32_AXL","Enemy... Ally... This issue isn't so black and white. Reploids, along with humanity, have irrevocably changed."
"FINALLUMINE33_AXL","The nature of their existence has also changed. You are not needed in our new world!"
"ENDING1-1_AXL","Unbelievable..."
"ENDING1-2_AXL","You may have defeated me... But it's too late to stop what's already begun..."
"ENDING1-3_AXL","I'll take on plenty more like you, if that's what it takes."
"ENDING1-4_AXL","Ha ha ha... You really don't have a grasp of the situation, do you?"
"ENDING1-5_AXL","Oh well... You'll find out... soon enough..."
"ENDING1-6_AXL","....."
"ENDING1-7_AXL","Ugh! I can't stand this pain anymore... Just... Make it quick..."
"ENDING2-1_AXL","This is Axl..."
"ENDING2-2_AXL","Axl... Axl... Status report!"
"ENDING2-3_AXL","The mission....was accomplished"
"ENDING2-4_AXL","The enemy... Has been dealt with. I'm headed back now..."
"ENDING2-5_AXL","Roger..."
"SECRET2-1_AXL","Welcome, Axl. I've been expecting you."
"SECRET2-2_AXL","Oh, so you already know me, huh?"
"SECRET2-3_AXL","Gotta say, you're way more... \""Chill\"", than anyone I've faced before. What's your deal?"
"SECRET2-4_AXL","How observant of you to notice so quickly."
"SECRET2-5_AXL","I am Serenade."
"SECRET2-6_AXL","You mentioned I'm different from others you faced before?"
"SECRET2-7_AXL","That is because of my overwhelming power."
"SECRET2-8_AXL","Overwhelming power? Are you serious? You don't exactly look that part to be honest..."
"SECRET2-9_AXL","Correct. My strength isn't about aggression. I've been training ever since I lost the title of UnderKing."
"SECRET2-10_AXL","For twenty years, I've amassed power and refined my abilities. And now, I've chosen you to test them."
"SECRET2-11_AXL","Twenty years? Wow, that's a.... very long time. But hey, I've got this copy ability thing still going on."
"SECRET2-12_AXL","Serenade, was it? Hmm..."
"SECRET2-13_AXL","You sure you wanna take me on? You might be biting off more than you can chew. But hey, a challenge is a challenge. You're on!"
"SECRET2-14_AXL","Then step forward... Axl. Show me what you got!"
"SECRET2-15_AXL","I truly believed my power would be enough to defeat you. It seems I was mistaken."
"SECRET2-16_AXL","But you... You don't rely just on strength alone. There's something in your spirit that makes you stronger."
"SECRET2-17_AXL","It's more than mere combat skills. It's your tenacity, your heart..."
"SECRET2-18_AXL","Yeah, well... I've got a habit of surprising people. Guess I'm full of tricks like that."
"SECRET2-19_AXL","But you were no pushover either. I can respect that."
"SECRET2-20_AXL","You fought beautifully, Axl. You may be the strongest warrior I've encountered in this world."
"SECRET2-21_AXL","I wish I had something more to offer as a reward... but all I can give is my gratitude."
"SECRET2-22_AXL","Heh, don't sweat it. It was a good fight. That's all the reward I need..."
"SECRET2-23_AXL","Though, if you've got any other secret power-ups lying around, I wouldn't say no."
"SECRET2-24_AXL","Perhaps we'll meet again, in another place... until then, farewell, Axl."
"SECRET2-25_AXL","See ya, Serenade. Next time, I won't go so easy on you!"
"SECRET2-26_AXL","SECRET2-26_AXL"
"SECRET3-1_AXL","Finally, I've acquired it. This data contains information on all currently wanted criminals..."
"SECRET3-2_AXL","R.... Red? But... how?"
"SECRET3-3_AXL","Axl, it's been a while. How is your progress going on your own?"
"SECRET3-4_AXL","Red, wait! You're not supposed to be here. This area is only for High Ranked Hunters!"
"SECRET3-5_AXL","You're not the same, Red. Are you still following \""his\"" ways?"
"SECRET3-6_AXL","You've turned Red Alert into something twisted because of that!"
"SECRET3-7_AXL","I know how this looks like, but fret not. With this data, we can hunt Mavericks more effectively than the Hunters ever could."
"SECRET3-8_AXL","The Red Alert can return to have their justice back, Axl."
"SECRET3-9_AXL","That's not justice... It's power! And I'm not letting you to abuse it!"
"SECRET3-10_AXL","Heh, I never thought I would have to hear this kind of thinking from you. Well, let's see if you have improved. No Holding Back!"
"SECRET3-11_AXL","Not bad..... Kid, you've grown up as a Hunter."
"SECRET3-12_AXL","You don't have to do this, Red. It's not too late to start over, you can still be yourself if you join us."
"SECRET3-13_AXL","Maybe..... maybe not. Don't worry about me, I'll still go on my own way."
"SECRET3-14_AXL","But for now, I will be careful when trusting."
"SECRET3-15_AXL","Next time, Axl... it won't be this easy when we met again. Farewell.... and take care of yourself, boy."
"SECRET3-16_AXL","Red...."
"INTRO1-1_ZERO","So this is Noah's Park, huh? Not a bad place after all."
"INTRO1-2_ZERO","Zero, do you copy? There's a huge Maverick Mechaniloid in this area."
"INTRO1-3_ZERO","And it's close to the site of the accident near the Orbital Elevator. Got it!"
"INTRO1-4_ZERO","I'll clean up the Mavericks in this area."
"INTRO1-5_ZERO","Send the rescue Mechaniloids as soon as I get to the accident scene."
"INTRO1-6_ZERO","Understood, be careful, Zero!"
"INTRO2-1_ZERO","W... What? What's the meaning of this, Sigma?"
"INTRO2-2_ZERO","To protect ourselves from damage during the accident..."
"INTRO2-3_ZERO","We had to copy a sturdy Sigma body."
"INTRO2-4_ZERO","We New Generation Reploids enjoy complete and total immunity to all viruses."
"INTRO2-5_ZERO","So even copying something as dangerous as Sigma provides no risk."
"INTRO2-6_ZERO","Who are you? Identify yourself!"
"INTRO2-7_ZERO","I'm Lumine..."
"INTRO2-8_ZERO","I'm the director in charge of the elevator and the Jakob Project."
"INTRO2-9_ZERO","Hmmm... I see. Don't move, I'll call the rescue team to take you-"
"INTRO3-1_ZERO","Ha ha ha! How nice to see you again, Zero."
"INTRO3-2_ZERO","Vile? So they weren't lying when they reported your presence around again."
"INTRO3-3_ZERO","I'd love to stay and play with you, but I'm afraid I have too much work to do..."
"INTRO3-4_ZERO","I won't let a wanted criminal like you take Lumine away. Let him go now!"
"INTRO3-5_ZERO","Not a chance. The Orbital Elevator is under our control now..."
"INTRO3-6_ZERO","What do you plan to do, Maverick Scum?!"
"INTRO3-7_ZERO","It begins now, Zero. A new world will be born!"
"INTRO3-8_ZERO","Ha ha ha ha ha ha ha ha ha ha!"
"ANTONION1_ZERO","Gravity Antonion. You used to be an incredible scientist, but it looks like you've gone Maverick now."
"ANTONION2_ZERO","Incredible? Maverick? What do those words even mean?"
"ANTONION3_ZERO","You'd have to ask someone smarter than me. Has Sigma made you like this?"
"ANTONION4_ZERO","Did he force you and the others to go Maverick?"
"ANTONION5_ZERO","You actually think you can sum my master up with that word?"
"ANTONION6_ZERO","Our honesty is matched only by your supreme foolishness."
"ANTONION7_ZERO","Well, at any rate, If you can't understand our great plan, then I'll destroy you!"
"MANOWAR1_ZERO","Hey! Gigabolt Man-O-War!"
"MANOWAR2_ZERO","Return Abel City's power to normal. Now!"
"MANOWAR3_ZERO","... ... ..."
"MANOWAR4_ZERO","He's so far gone, he can't even respond..."
"MANOWAR5_ZERO","I'm no Maverick... I'm not doing anything wrong..."
"MANOWAR6_ZERO","My master needs energy to make his new world a reality."
"MANOWAR7_ZERO","Turning Abel City's power out of control? How does this fit into Sigma's evil plan?"
"MANOWAR8_ZERO","I'm just working hard to realize my master's dream of a new world. He's not wrong here."
"MANOWAR9_ZERO","A new world?! Well, that plan's not getting any farther than this!"
"MANOWAR10_ZERO","Looks like I'll have to teach you a lesson!"
"MANTIS1_ZERO","Whoa. Get a load of this guy. You're Zero, right?"
"MANTIS2_ZERO","If you really knew me, you'd be shaking in your boots right about now."
"MANTIS3_ZERO","You old style Reploids really don't understand a thing, do you?"
"MANTIS4_ZERO","What do you mean by that, Maverick?"
"MANTIS5_ZERO","You could have made a great general in our ranks. My master has shown quite an interest in you, you know."
"MANTIS6_ZERO","Hmph! I'm not interested in joining up with Mavericks, thank you very much."
"MANTIS7_ZERO","And don't worry... I'll be going after your boss as soon as I'm finished with you."
"PANDA1_ZERO","You mean to tell me you've never thought such things yourself, Zero?"
"PANDA2_ZERO","That the world wishes for destruction and nothing more?"
"PANDA3_ZERO","Is that what Sigma tells you?"
"PANDA4_ZERO","Perhaps. Perhaps my master has also seen a little of himself inside of you..."
"PANDA5_ZERO","Gimme a break..."
"PANDA6_ZERO","This perfect world you Mavericks keep blabbering about doesn't even exist."
"PANDA7_ZERO","No, it doesn't."
"PANDA8_ZERO","That's why we must destroy this one."
"PANDA9_ZERO","What will end Zero, is this world."
"ROOSTER1_ZERO","Why have you started a riot? Is this Sigma's doing?"
"ROOSTER2_ZERO","Do you know what this place is?"
"ROOSTER3_ZERO","The waste disposal center..."
"ROOSTER4_ZERO","After I'm through slicing and dicing, this is where I'll toss what's left of you."
"ROOSTER5_ZERO","Can't you hear them, Zero?"
"ROOSTER6_ZERO","The cries of all the Reploids you've sent here because you decided they were Mavericks?"
"ROOSTER7_ZERO","Woah? Give me a break! If you can hear all that, I guess that means you're a Maverick too, huh?"
"ROOSTER8_ZERO","Ha! You'll realize soon enough who's right and who's wrong in this struggle."
"ROOSTER9_ZERO","You won't mock me when the new world becomes a reality!"
"SUNFLOWER1_ZERO","Zero... Surely you've figured it out."
"SUNFLOWER2_ZERO","You must have an inkling as to what we're after here."
"SUNFLOWER3_ZERO","What would I know about how you Mavericks think?"
"SUNFLOWER4_ZERO","No! No! No! We may not be the good guys, but we're no monsters."
"SUNFLOWER5_ZERO","My master remembers you well. You had the chance to become the ultimate destroyer. That's ancient history now."
"SUNFLOWER6_ZERO","Aw man... He's gone off the deep end."
"TRILOBYTE1_ZERO","The minerals we mine here are essential to the development of space."
"TRILOBYTE2_ZERO","But I don't suppose that means too much to you, does it Zero?"
"TRILOBYTE3_ZERO","And you're mining it for Sigma? Are you crazy?"
"TRILOBYTE4_ZERO","Have you given any thought as to why my master might want resources such as this?"
"TRILOBYTE5_ZERO","I don't need to understand your plan to know that it stinks, and I won't let you get away with it!"
"TRILOBYTE6_ZERO","Hmph! I will not be insulted by a broken down scrap heap like you!"
"TRILOBYTE7_ZERO","You'll have to answer to my master sooner or later, you worthless pile of scrap!"
"YETI1_ZERO","Zero. My master sees a part for you in his new ideal world."
"YETI2_ZERO","What do you Mavericks see in me? Aside from a potential beating, that is..."
"YETI3_ZERO","You truly are an old model, aren't you? You can't change the world with that thinking."
"YETI4_ZERO","Change the world? With destruction? Leave it to a Maverick to come up with that."
"YETI5_ZERO","Your world... Your ideals... they're incomprehensible to my master."
"VILE1-1_ZERO","Vile!"
"VILE1-2_ZERO","What do you plan to do with the Elevator and Lumine?"
"VILE1-3_ZERO","Lumine? Ha ha ha... Don't worry. We're taking very good care of him."
"VILE1-4_ZERO","The Orbital Elevator is too important to us to hurt the one who operates it."
"VILE1-5_ZERO","That toy's a little too complicated for Mavericks like you, Vile."
"VILE1-6_ZERO","Ha ha ha... How I've missed you, Zero."
"VILE1-7_ZERO","What do you say we have a little fun and make the most of this reunion?"
"VILE2-1_ZERO","Vile!"
"VILE2-2_ZERO","It's time to hand Lumine over. This time, I won't take No for an answer."
"VILE2-3_ZERO","Lumine? Are you so dim as to think you're in a position to make demands?"
