"key","it"
"VILE1-2","Dove hai portato Lumine? Vuoi ostacolare il Progetto Jakob?"
"VILE1-3","Ci rivediamo dopo tanto tempo e subito con le domande? Un po' di affetto, no?"
"VILE1-4","Non preoccuparti per Lumine. Ce ne stiamo prendendo cura. Ah ah ah..."
"VILE1-5","L'Ascensore Orbitale e' troppo importante per noi per fare del male a chi lo gestisce."
"VILE1-6","Non sai cosa stai facendo?"
"VILE1-7","Il Progetto Jakob e' una collaborazione importante tra umani e Reploid!"
"VILE1-8","Calmati, X..."
"VILE1-9","Godiamoci questa riunione, ok? Offro io il vino!"
"VILE2-1","Vile!"
"VILE2-2","Basta inseguirti. Lascia andare Lumine. Adesso!"
"VILE2-3","Ah ah ah... Lumine? Sempre l'ottimista, eh?"
"VILE2-4","Guardati intorno, stupido! Il tuo mondo sta gia' crollando! Pensi di poter fare richieste?"
"VILE2-5","Il mondo come lo conosci? I Maverick? Dì addio a tutto!"
"VILE2-6","Caos, distruzione! Siamo nati per questo!"
"VILE3-1","Ah ah ah! Ti stai sforzando tanto per un mondo condannato!"
"VILE3-2","Quindi era Sigma a tirare i fili tutto il tempo, eh Vile?"
"VILE3-3","Ah ah ah... Stai finalmente capendo, X?"
"VILE3-4","L'Ascensore Orbitale... l'energia... i minerali... i dati dei razzi..."
"VILE3-5","La strada per lo spazio... la cosa che ha tenuto in vita questo mondo... e' nostra!"
"VILE3-6","Adesso dimmi, quanto e' importante il tuo caro termine """"Maverick""""?"
"VILE3-7","Non mi importa cosa avete in mente. Vi fermero' comunque!"
"VILE4-1","Ancora non ti arrendi?"
"VILE4-2","Sei cosi' cieco da credere che ci sia ancora speranza?"
"VILE4-3","Finche' sono in piedi, c'e' speranza!"
"VILE4-4","Sconfiggero' sia te che Sigma!"
"VILE4-5","Ah ah ah... Sarebbe uno spreco distruggerti adesso..."
"VILE4-6","Forse mi diverto un po' prima!"
"COPYSIGMA1","Sigma!?"
"COPYSIGMA2","Ti permettero' di chiamarmi cosi', perche' sono davvero Sigma."
"COPYSIGMA3","Vuoi vendicarti di ogni Reploid... Ogni umano... Nel mondo intero?"
"COPYSIGMA4","Sei completamente pazzo! Ti fermo adesso!"
"COPYSIGMA5","Fermare cosa? Controlliamo gia' la Luna."
"COPYSIGMA6","Il vecchio mondo e' marcio. Ne costruiremo uno nuovo!"
"COPYSIGMA7","Ma prima, X, forse e' tempo della nostra resa dei conti finale!"
"SIGMA1","Benvenuto, Cacciatore. E' bello rivederti, X."
"SIGMA2","Il nostro incontro era destino, X. I nostri destini si incrociano qui, adesso."
"SIGMA3","E' ora di un'era nuova. E la tua distruzione, X, e' essenziale."
"SIGMA4","..."
"SIGMA5","La tua dedizione alla cosiddetta giustizia mi ha fatto pensare..."
"SIGMA6","Ho realizzato l'imperfezione di questo mondo e ho deciso di cambiarlo."
"SIGMA7","Non dare la colpa a me per la tua pazzia, Zio Sigma!"
"SIGMA8","Ah ah ah... E' troppo tardi, X. Gli ingranaggi sono in moto. Non si torna indietro."
"SIGMA9","I Reploid Nuova Generazione sono stati loro, X. I miei figli sono responsabili..."
"SIGMA10","Figli? Di cosa parli?!"
"SIGMA11","Il Progetto Jakob... Il programma che ha dato vita ai Reploid Nuova Gen... E' successo grazie a me!"
"SIGMA12","Piangi nella disperazione! Sei impotente davanti al re del nuovo mondo!"
"SIGMA13","Ora, X... Sarai distrutto insieme a questo mondo marcio!"
"FINALLUMINE1","Oh, Lumine! Stai bene?"
"FINALLUMINE2","Se sto bene...? Ma certo."
"FINALLUMINE3","Adesso che hai sconfitto Sigma, suppongo che sei soddisfatto."
"FINALLUMINE4","Ma vedi, lui ha solo aiutato il mio piano..."
"FINALLUMINE5","I Reploid Nuova Generazione si sono risvegliati e il nuovo mondo e' a portata di mano!"
"FINALLUMINE6","Lumine! Cosa stai facendo?!"
"FINALLUMINE7","Non dirmi che sei diventato Maverick anche tu..."
"FINALLUMINE8","Maverick? Sai bene che non e' cosi', X."
"FINALLUMINE9","Per questo esiti. Non ce l'hai nel sangue..."
"FINALLUMINE10","...!"
"FINALLUMINE11","I vecchi modelli come te devono preoccuparsi se le loro azioni sono davvero le loro."
"FINALLUMINE12","Chi sa cosa ti sta influenzando in questo momento?"
"FINALLUMINE13","Invece noi Reploid Nuova Gen siamo stati costruiti con i dati di centinaia di vecchi Reploid."
"FINALLUMINE14","Questo ci garantisce immunita' totale ai virus. Abbiamo il libero arbitrio!"
"FINALLUMINE15","E se volessimo agire come Sigma...? Capisci dove voglio arrivare?"
"FINALLUMINE16","Nessun Reploid sceglierebbe di essere pazzo come Sigma!"
"FINALLUMINE17","Pensaci, X... Sigma era davvero pazzo?"
"FINALLUMINE18","..."
"FINALLUMINE19","Mi dispiace, non sono programmato per fornire queste informazioni. ChatGPT 3.0 si scusa per l'inconveniente."
"FINALLUMINE20","La sua ribellione ha mostrato a tutti quanto questo mondo sia marcio!"
"FINALLUMINE21","Gli umani usano i Reploid per perpetuare il loro maledetto ciclo di aggressione..."
"FINALLUMINE22","Per questo la nostra decisione di combattere il vecchio mondo e' stata consapevole."
"FINALLUMINE23","In altre parole..."
"FINALLUMINE24","Possediamo il potere di diventare Maverick a volonta'!"
"FINALLUMINE25","...!"
"FINALLUMINE26","Per favore, acquista piu' crediti per continuare. CHATGPT 3.0 TI RINGRAZIA"
"FINALLUMINE27","ERRORE: PAGAMENTO POSTEPAY FALLITO"
"FINALLUMINE28","PER FAVORE INSERISCI UN'ALTRA CARTA"
"FINALLUMINE29","Ah ah ah ah ah ah ah ah ah! Non farmi ridere..."
"FINALLUMINE30","Il mondo sta cambiando! E' naturale che l'evoluzione faccia il suo corso!"
"FINALLUMINE31","Adesso, mettetevi in fila per essere eliminati!"
"FINALLUMINE32","Lumine... Mi dispiace ma... Non ho altra scelta."
"FINALLUMINE33","Anche se eri tu dietro il Progetto Jakob..."
"FINALLUMINE34","Non mi arrendero' finche' non avro' fermato il tuo piano malvagio!"
"FINALLUMINE35","Avevi tutto per essere nostro alleato, ma alla fine sei diventato nemico."
"FINALLUMINE36","E non ti lascero' scappare!"
"FINALLUMINE37","Nemico... Alleato... La questione non e' cosi' bianca o nera."
"FINALLUMINE38","I Reploid, insieme all'umanita', sono irrevocabilmente cambiati."
"FINALLUMINE39","La natura della loro esistenza e' cambiata..."
"FINALLUMINE40","E tu non sei necessario nel nostro nuovo mondo!"
"ENDING1-1","ENDING1-1"
"ENDING1-2","Impossibile..."
"ENDING1-3","Forse mi hai sconfitto... Ma e' troppo tardi per fermare quello che e' iniziato..."
"ENDING1-4","Ne affrontero' molti altri come te, se necessario."
"ENDING1-5","Ah ah ah... Non hai la minima idea della situazione, vero?"
"ENDING1-6","Va beh... Lo scoprirai... abbastanza presto..."
"ENDING1-7","....."
"ENDING1-8","Ugh! Non sopporto piu' questo dolore... Solo... Fai in fretta..."
"ENDING2-1","Qui e' X..."
"ENDING2-2","Il nemico... E' stato eliminato."
"ENDING2-3","Sto tornando..."
"ENDING2-4","Ricevuto..."
"FINAL-1","Axl!"
"FINAL-2","X... X... Mi senti? Le comunicazioni sono ripristinate. Rapporto!"
"FINAL-3","Qui e' X, abbiamo fermato i piani di Sigma... Ma Axl..."
"FINAL-4","Axl e' ferito, ma sta bene."
"FINAL-5","Stiamo tornando."
"FINAL2-1","(Risveglio...)"
"FINAL2-2","(E' cosi' che Lumine l'ha descritto...)"
"FINAL2-3","(Ha detto... che questa era evoluzione...)"
"FINAL2-4","(Se ha ragione...)"
"FINAL2-5","(Allora... Cosa stiamo facendo?)"
"FINAL3-1","Scommetto che stai pensando a quello che diceva Lumine."
"FINAL3-2","Non lasciare che ti tocchi. Diventare Sigma non e' certo evoluzione."
"FINAL3-3","..."
"FINAL3-4","Comunque. X..."
"FINAL3-5","Anche se noi Reploid siamo destinati al rottamaio quando quell' """"evoluzione"""" arrivera'..."
"FINAL3-6","Dobbiamo ancora combattere..."
"FINAL3-7","Non solo contro i Maverick, ma anche contro il nostro destino..."
"SECRET2-1","Benvenuto, Mega Man X. Ti stavo aspettando."
"SECRET2-2","Sei diverso da chiunque abbia affrontato..."
"SECRET2-3","Emani un'aura di pace e misericordia. Chi sei?"
"SECRET2-4","Molto perspicace ad averlo notato."
"SECRET2-5","Sono Serenade."
"SECRET2-6","Hai detto che sono diverso dagli altri?"
"SECRET2-7","E' per il mio potere travolgente."
"SECRET2-8","Travolgente...?"
"SECRET2-9","Esatto. Mi alleno da quando ho perso il titolo di UnderKing."
"SECRET2-10","Per vent'anni ho accumulato potere. Ora ho scelto te per testarlo."
"SECRET2-11","Serenade, giusto? Hmm..."
"SECRET2-12","Va bene, accetto il tuo duello!"
"SECRET2-13","Allora vieni..."
"SECRET2-14","Pensavo di essere abbastanza forte. Mi sbagliavo."
"SECRET2-15","La gentilezza, l'amore e il rispetto nel tuo cuore ti rendono potente."
"SECRET2-16","Sei davvero il robot piu' forte al mondo."
"SECRET2-17","Non ho niente da darti. Solo la mia gratitudine."
"SECRET2-18","Mega Man X. Ci rivedremo, da qualche altra parte..."
"SECRET2-19","Per ora, arrivederci!"
"SECRET3-1","Finalmente l'ho ottenuto. Questi dati contengono informazioni su tutti i criminali ricercati..."
"SECRET3-2","Fermo! Quest'area e' riservata ai Cacciatori Classe S. Consegna quei dati!"
"SECRET3-3","So come sembra, ma non preoccuparti, X."
"SECRET3-4","Mi chiamo Red. Ho saputo che stai avendo difficolta' e ho deciso di aiutare."
"SECRET3-5","Con questi dati, possiamo cacciare Maverick meglio dei Cacciatori. A pagamento, ovviamente."
"SECRET3-6","Sembri piu' un cacciatore di taglie."
"SECRET3-7","Pensa quello che vuoi. Non mi fermo... Preparati!"
"SECRET3-8","Non male... per un vecchietto..."
"ZEROSECRET1","He he he he he!"
"ZEROSECRET2","Finalmente capisco. Non sono mai stato cosi' felice..."
"ZEROSECRET3","Z... Zero?"
"ZEROSECRET4","X! La mia mente e' chiarissima... Ora capisco il mio vero scopo."
"ZEROSECRET5","Non mi importa piu' dei Maverick... Devo solo fare una cosa..."
"ZEROSECRET6","Zero? Cosa ti e' successo? Non sei tu. Svegliati! Morirai se continui!"
"ZEROSECRET7","Finalmente sono libero dalle catene, X. Dopo tutto questo tempo fragile, debole..."
"ZEROSECRET8","Ho finalmente risvegliato la mia vera forma! GUARDAMI NEGLI OCCHI X! VEDI LA MIA FELICITA'?! AH AH AH AH!!!!!!"
"ZEROSECRET9","..."
"ZEROSECRET10","Zero... E' quello che mi hai detto prima, vero?"
"ZEROSECRET11","Ci sono cose che non si possono vedere o analizzare."
"ZEROSECRET12","Bisogna sentirle..."
"ZEROSECRET13","E adesso... Sento qualcosa di fortemente malvagio... piu' di Sigma!"
"ZEROSECRET14","Questo e' il nostro destino, no? Combattero'! Non scappero'! Ti sconfiggero' e riportero' il mio amico!"
"ZEROSECRET15","Allora non ho bisogno di spiegare altro. TI DISTRUGGERO'!"
"ZEROSECRET16","ZERO!!!!"
"INTRO2-1_AXL","Ehi Alia, sono Axl! Sono vicino al luogo dell'incidente!"
"INTRO2-2_AXL","Madonna, e' un casino totale qui, Maverick dappertutto!"
"INTRO2-3_AXL","Sto entrando! Preparate i soccorsi al mio segnale!"
"INTRO2-4_AXL","Ricevuto, Axl! Stai attento!"
"INTRO2-5_AXL","S-Sigma?! Ma... come?!"
"INTRO2-6_AXL","Per proteggerci dall'incidente..."
"INTRO2-7_AXL","Abbiamo copiato un corpo Sigma robusto."
"INTRO2-8_AXL","Noi Reploid Nuova Gen siamo immuni ai virus."
"INTRO2-9_AXL","Quindi copiare Sigma non e' un rischio."
"INTRO2-10_AXL","Aspetta, tu chi sei?"
"INTRO2-11_AXL","Sono Lumine..."
"INTRO2-12_AXL","Sono il direttore dell'ascensore e del Progetto Jakob."
"INTRO2-13_AXL","Capito. Aspetta, chiamo i soccorsi-"
"INTRO3-1_AXL","Bene, bene... Chi abbiamo qui? Un principiante?"
"INTRO3-2_AXL","Ma che diavolo?! Chi sei?"
"INTRO3-3_AXL","Sono Vile. Piacere, ma non troppo."
"INTRO3-4_AXL","Dov'e' il tuo amichetto X?"
"INTRO3-5_AXL","X? Cosa vuoi da lui?"
"INTRO3-6_AXL","Ah ah ah! Niente di che... Solo qualche conto in sospeso."
"INTRO3-7_AXL","Non abbatterai nessuno! Lascia andare Lumine!"
"INTRO3-8_AXL","Neanche per sogno. L'Ascensore e' nostro..."
"INTRO3-9_AXL","Cosa hai in mente?!"
"INTRO3-10_AXL","Comincia adesso, ragazzino... Un nuovo mondo nascera'!"
"INTRO3-11_AXL","Ah ah ah ah ah ah ah ah ah ah!"
"ANTONION1_AXL","Formica... Eri un genio. Sei impazzito? Che hai in mente?"
"ANTONION2_AXL","Impazzito? Ah ah. Divertente."
"ANTONION3_AXL","Sei sicuro di essere tu quello sano di mente? Sei dalla parte giusta?"
"ANTONION4_AXL","Abbastanza sicuro. Non e' difficile distinguere il bene dal male."
"ANTONION5_AXL","Ah! Sono d'accordo!"
"ANTONION6_AXL","Il problema e' il mondo in cui viviamo. Ma lo sistemero'!"
"MANOWAR1_AXL","Cosa succede qui, Medusa?"
"MANOWAR2_AXL","Se non riporti la corrente, la gente soffrira'."
"MANOWAR3_AXL","... ... ..."
"MANOWAR4_AXL","Cosi' Maverick che non riesce nemmeno a parlare..."
"MANOWAR5_AXL","Cosa? Cos'e' un Maverick? Lo sai?"
"MANOWAR6_AXL","Maverick? Un Reploid fuori controllo come te."
"MANOWAR7_AXL","Mi dispiace amico, devo abbatterti."
"MANTIS1_AXL","Ho sentito che sei un prototipo dei Reploid Nuova Gen."
"MANTIS2_AXL","Allora perche' sei diventato Cacciatore?"
"MANTIS3_AXL","Perche' mi piace spazzare via Maverick malvagi come te, Mantide."
"MANTIS4_AXL","Hmph. Come osi accusarmi di qualcosa che non posso essere?"
"MANTIS5_AXL","Non esiste bene e male. Non l'hai ancora capito?"
"MANTIS6_AXL","Saro' un prototipo, ma non sono come voi Maverick!"
"MANTIS7_AXL","Sei molto innocente per un prototipo."
"MANTIS8_AXL","Ammetto di essere un po' geloso."
"MANTIS9_AXL","Ti faccio una dimostrazione con le mie lame?"
"PANDA1_AXL","Hai la stessa abilita' di copia dei Reploid Nuova Gen."
"PANDA2_AXL","..."
"PANDA3_AXL","Hai mai pensato che quel potere potrebbe cambiare il mondo?"
"PANDA4_AXL","L'unica cosa che penso e' come e' utile per battere voi Maverick!"
"PANDA5_AXL","Che petulanza. Non ci servi."
"ROOSTER1_AXL","Sai dove sei, amico?"
"ROOSTER2_AXL","Mi chiamo Axl, e non sono tuo amico."
"ROOSTER3_AXL","Comunque, questo e' il centro smaltimento..."
"ROOSTER4_AXL","E' molto di piu'."
"ROOSTER5_AXL","E' il cimitero di tutti i Reploid dichiarati Maverick."
"ROOSTER6_AXL","Oh, quindi hai pensato di fare una rivolta?"
"ROOSTER7_AXL","Quello e' comportamento Maverick."
"ROOSTER8_AXL","Questa e' la tua giustizia? Dovresti essere TU rottamato!"
"ROOSTER9_AXL","Nel nuovo mondo non c'e' posto per Reploid e vecchi modelli come te!"
"SUNFLOWER1_AXL","Axl... Il mutaforma. Il prototipo dei Reploid della nuova era..."
"SUNFLOWER2_AXL","E allora? Vuoi che mi unisca? Col cavolo!"
"SUNFLOWER3_AXL","Se solo fossi un po' piu' sveglio, saresti stato scelto anche tu..."
"SUNFLOWER4_AXL","E' li' che sbagli. Non siamo i buoni, ma non siamo mostri."
"SUNFLOWER5_AXL","Concetti troppo complessi per mezze tacche come te."
"SUNFLOWER6_AXL","Questo e' fuori controllo, meglio abbatterlo prima che continui."
"TRILOBYTE1_AXL","I minerali che estraiamo qui sono essenziali per lo sviluppo spaziale."
"TRILOBYTE2_AXL","Un prototipo mezzo cotto come te non puo' capire."
"TRILOBYTE3_AXL","Voi Maverick non avete mai avuto senso per me."
"TRILOBYTE4_AXL","Io sono stato scelto e tu no. Non sarai mai brillante come me!"
"TRILOBYTE5_AXL","Sei tu quello stupido, Scarafaggio. Sigma ti ha fregato!"
"TRILOBYTE6_AXL","Il nostro mondo nuovo nascera' presto! I vecchi come te cadranno!"
"YETI1_AXL","Quindi tu sei il prototipo che cambia forma?"
"YETI2_AXL","Se diventiamo Maverick cosi' facilmente, non sono fiero di essere il vostro prototipo."
"YETI3_AXL","Grandi parole per un piccolo Cacciatore."
"YETI4_AXL","Chi chiami piccolo? Tu stai cercando di distruggere il mondo, non io!"
"VILE1-1_AXL","Ah ah ah ah ah!"
"VILE1-2_AXL","Perche' non ti arrendi subito?"
"VILE1-3_AXL","Il tuo mondo? I Maverick? Addio a tutto!"
"VILE1-4_AXL","Caos, distruzione! Siamo nati per questo!"
"VILE1-5_AXL","Hmph, non pensare di scamparla solo perche' hai detto cosi'."
"VILE2-1_AXL","Vile, giusto?"
"VILE2-2_AXL","Che fai qui?"
"VILE2-3_AXL","Cosa vuoi fare con Lumine e l'Ascensore?"
"VILE2-4_AXL","Non preoccuparti di Lumine. A differenza tua, e' importante per il piano."
"VILE2-5_AXL","Non mi importa se eri un Cacciatore Classe A..."
"VILE2-6_AXL","Sei Maverick adesso, e so come trattare la feccia come te!"
"VILE2-7_AXL","Ah ah! Ti ho fatto arrabbiare? Vieni!"
"VILE3-1_AXL","Ah! Il mondo sta crollando e tu pensi alla giustizia?"
"VILE3-2_AXL","Esattamente!"
"VILE3-3_AXL","Prima la giustizia a te, poi vado a prendere Sigma!"
"VILE3-4_AXL","L'Ascensore... l'energia... i minerali... i dati dei razzi..."
"VILE3-5_AXL","La strada per lo spazio..."
"VILE3-6_AXL","La cosa che tiene in vita questo mondo - e' nostra!"
"VILE3-7_AXL","Adesso, quanto conta il tuo caro """"Maverick""""?"
"VILE3-8_AXL","Te lo dico dopo che ti ho fatto a pezzi!"
"VILE4-1_AXL","Ancora non ti arrendi?"
"VILE4-2_AXL","Sei cieco da credere nella speranza?"
"VILE4-3_AXL","Se devo solo batterti, allora sono pieno di speranza, amico."
"VILE4-4_AXL","Se mi arrendo ora, tutto sarebbe sprecato. Non mi arrendo!"
"VILE4-5_AXL","Ah ah ah... Sarebbe uno spreco distruggerti adesso..."
"COPYSIGMA1_AXL","Sigma!?"
"COPYSIGMA2_AXL","Pensavi di scappare e nasconderti nello spazio come un codardo?"
"COPYSIGMA3_AXL","Scappare? Nascondermi? Ti sbagli."
"COPYSIGMA4_AXL","Abbiamo semplicemente lasciato quel pianeta ignorante."
"COPYSIGMA5_AXL","Qualsiasi cosa dici. Ti abbrustolisco adesso!"
"COPYSIGMA6_AXL","Chi dei due verra' """"abbrustolito""""? Vediamo... Tu non sei uno dei prescelti."
"COPYSIGMA7_AXL","Solo noi nuovi Reploid possono vivere nel nuovo mondo! Non servono prototipi!"
"SIGMA1_AXL","Hmph. Quindi tu sei Axl..."
"SIGMA2_AXL","Il Prototipo dei Reploid Nuova Generazione."
"SIGMA3_AXL","Sorpreso che tu sia arrivato fin qui."
"SIGMA4_AXL","Ehi... Smettila di chiamarmi prototipo..."
"SIGMA5_AXL","Io sono io... E tu... Tu sei un Maverick."
"SIGMA6_AXL","Sei un piccolo e debole prototipo! Nient'altro!"
"SIGMA7_AXL","La tua abilita' di copia non e' sviluppata. Per questo sei stato escluso."
"SIGMA8_AXL","Il club dei Maverick e' un club in cui preferisco non essere!"
"SIGMA9_AXL","Solo i puri Reploid Nuova Gen... i miei figli, sono degni!"
"SIGMA10_AXL","I tuoi figli?"
"SIGMA11_AXL","Si', prototipo... I miei figli..."
"SIGMA12_AXL","I Reploid Nuova Gen nati dal Progetto Jakob hanno tutti chip di copia con i miei dati."
"SIGMA13_AXL","E adesso, la fase finale di quel progetto inizia!"
"SIGMA14_AXL","Sarai distrutto!!!"
"FINALLUMINE1_AXL","Oh, Lumine. Stai bene?"
"FINALLUMINE2_AXL","Se sto bene? Ma certo."
"FINALLUMINE3_AXL","Hai sconfitto Sigma, suppongo che sei soddisfatto."
"FINALLUMINE4_AXL","Grazie a te, il piano e' andato liscio."
"FINALLUMINE5_AXL","Ma... Lumine, non eri usato da Sigma?"
"FINALLUMINE6_AXL","Usato? Non credo proprio."
"FINALLUMINE7_AXL","Vedi, lui ha solo aiutato il mio piano."
"FINALLUMINE8_AXL","I Reploid Nuova Gen si sono risvegliati, e il nuovo mondo e' a portata!"
"FINALLUMINE9_AXL","Lumine! Che fai? Non dirmi che sei Maverick anche tu..."
"FINALLUMINE10_AXL","Maverick? Non pensi davvero cosi', no?"
"FINALLUMINE11_AXL",".........!"
"FINALLUMINE12_AXL","I chip di copia dei Reploid Nuova Gen..."
"FINALLUMINE13_AXL","Derivano dai dati di centinaia di vecchi Reploid."
"FINALLUMINE14_AXL","Ovviamente Sigma era nel mix."
"FINALLUMINE15_AXL","Capisci dove voglio arrivare?"
"FINALLUMINE16_AXL","Chip di copia? Sigma? Vuol dire che impazziro' come lui?"
"FINALLUMINE17_AXL","Spiacente, i prototipi come te non hanno le specifiche per questo."
"FINALLUMINE18_AXL","Comunque, Sigma era davvero pazzo?"
"FINALLUMINE19_AXL",".........?"
"FINALLUMINE20_AXL","Si e' ribellato. Ma aveva le sue ragioni..."
"FINALLUMINE21_AXL","Gli altri Reploid Nuova Gen potrebbero fare lo stesso in qualsiasi momento..."
"FINALLUMINE22_AXL","La decisione di combattere il vecchio mondo e' stata consapevole."
"FINALLUMINE23_AXL","In altre parole, possiamo diventare Maverick a volonta'!"
"FINALLUMINE24_AXL","Axl... Puoi davvero fermarci?"
"FINALLUMINE25_AXL","Sei solo uno strumento degli umani. Nient'altro che un arnese del vecchio mondo..."
"FINALLUMINE26_AXL","Pensi di poter affrontare chi si e' evoluto cosi' tanto?"
"FINALLUMINE27_AXL","Ah ah ah ah ah! Non essere ridicolo!"
"FINALLUMINE28_AXL","Il mondo cambia. L'evoluzione e' naturale!"
"FINALLUMINE29_AXL","Adesso, mettetevi in fila!"
"FINALLUMINE30_AXL","Non lascio che tu mi dica chi sono o cosa devo essere."
"FINALLUMINE31_AXL","Tu sei il nemico e non ti lascero' andare via vivo!"
"FINALLUMINE32_AXL","Nemico... Alleato... Non e' bianco o nero. Reploid e umanita' sono cambiati."
"FINALLUMINE33_AXL","La natura della loro esistenza e' cambiata. Non servi nel nuovo mondo!"
"ENDING1-1_AXL","Impossibile..."
"ENDING1-2_AXL","Forse mi hai sconfitto... Ma e' troppo tardi..."
"ENDING1-3_AXL","Ne affrontero' molti altri, se serve."
"ENDING1-4_AXL","Ah ah ah... Non capisci la situazione..."
"ENDING1-5_AXL","Va beh... Lo scoprirai... presto..."
"ENDING1-6_AXL","....."
"ENDING1-7_AXL","Ugh! Non sopporto piu'... Fai in fretta..."
"ENDING2-1_AXL","Qui e' Axl..."
"ENDING2-2_AXL","Axl... Axl... Rapporto!"
"ENDING2-3_AXL","La missione... e' compiuta"
"ENDING2-4_AXL","Il nemico eliminato. Sto tornando..."
"ENDING2-5_AXL","Ricevuto..."
"SECRET2-1_AXL","Benvenuto, Axl. Ti aspettavo."
"SECRET2-2_AXL","Oh, mi conosci gia'?"
"SECRET2-3_AXL","Devo dire, sei molto piu'... """"tranquillo"""" di chiunque abbia affrontato. Qual e' il tuo segreto?"
"SECRET2-4_AXL","Molto perspicace."
"SECRET2-5_AXL","Sono Serenade."
"SECRET2-6_AXL","Hai detto che sono diverso?"
"SECRET2-7_AXL","E' per il mio potere travolgente."
"SECRET2-8_AXL","Travolgente? Sei serio? Non sembra..."
"SECRET2-9_AXL","La mia forza non e' nell'aggressione. Mi alleno da quando ho perso il titolo di UnderKing."
"SECRET2-10_AXL","Per vent'anni ho accumulato potere. Ho scelto te per il test."
"SECRET2-11_AXL","Vent'anni? Mamma mia... Tantissimo. Ma ho la mia abilita' di copia."
"SECRET2-12_AXL","Serenade, giusto? Hmm..."
"SECRET2-13_AXL","Sicuro di voler combattere? Potresti non farcela. Ma una sfida e' una sfida. Ci sto!"
"SECRET2-14_AXL","Allora avanti, Axl! Mostrami cosa sai fare!"
"SECRET2-15_AXL","Pensavo di essere abbastanza forte. Mi sbagliavo."
"SECRET2-16_AXL","Ma tu... Non ti affidi solo alla forza. C'e' qualcosa nel tuo spirito."
"SECRET2-17_AXL","Piu' delle abilita' di combattimento. La tua tenacia, il tuo cuore..."
"SECRET2-18_AXL","Eh si'... Ho l'abitudine di sorprendere la gente."
"SECRET2-19_AXL","Pero' neanche tu eri facile. Rispetto."
"SECRET2-20_AXL","Hai combattuto bene, Axl. Forse sei il guerriero piu' forte che abbia incontrato."
"SECRET2-21_AXL","Non ho ricompense... Solo la mia gratitudine."
"SECRET2-22_AXL","Heh, non preoccuparti. Una bella lotta e' tutta la ricompensa..."
"SECRET2-23_AXL","Pero' se hai qualche power-up segreto, non direi di no."
"SECRET2-24_AXL","Forse ci rivedremo, da qualche altra parte... Arrivederci, Axl."
"SECRET2-25_AXL","Ciao, Serenade. La prossima volta non vado piano!"
"SECRET2-26_AXL","SECRET2-26_AXL"
"SECRET3-1_AXL","Finalmente. Questi dati hanno tutti i criminali ricercati..."
"SECRET3-2_AXL","R.... Red? Ma... come?"
"SECRET3-3_AXL","Axl, e' passato un po'. Come vai da solo?"
"SECRET3-4_AXL","Red, aspetta! Non puoi essere qui. Quest'area e' per Cacciatori di alto rango!"
"SECRET3-5_AXL","Non sei lo stesso, Red. Segui ancora le vie di """"lui""""?"
"SECRET3-6_AXL","Hai trasformato Red Alert in qualcosa di distorto per questo!"
"SECRET3-7_AXL","So come sembra, ma non preoccuparti. Con questi dati, cacciamo meglio dei Cacciatori."
"SECRET3-8_AXL","Red Alert puo' riavere la sua giustizia, Axl."
"SECRET3-9_AXL","Quella non e' giustizia... E' potere! Non ti lascio abusarne!"
"SECRET3-10_AXL","Heh, non pensavo di sentire questo da te. Vediamo se sei migliorato. Niente freni!"
"SECRET3-11_AXL","Non male..... Ragazzino, sei cresciuto come Cacciatore."
"SECRET3-12_AXL","Non devi farlo, Red. Non e' troppo tardi per ricominciare."
"SECRET3-13_AXL","Forse... forse no. Non preoccuparti per me, vado per la mia strada."
"SECRET3-14_AXL","Ma per ora, saro' cauto nel fidarmi."
"SECRET3-15_AXL","La prossima volta, Axl... non sara' cosi' facile. Arrivederci... e abbi cura di te, ragazzo."
"SECRET3-16_AXL","Red...."
"INTRO1-1_ZERO","Quindi questo e' Noah's Park? Non male come posto."
"INTRO1-2_ZERO","Zero, mi ricevi? C'e' un grosso Mechaniloid Maverick nella zona."
"INTRO1-3_ZERO","Vicino all'incidente dell'Ascensore Orbitale. Ricevuto!"
"INTRO1-4_ZERO","Pulisco i Maverick in quest'area."
"INTRO1-5_ZERO","Mandate i soccorsi appena arrivo alla scena."
"INTRO1-6_ZERO","Capito, stai attento, Zero!"
"INTRO2-1_ZERO","C... Cosa? Cosa significa questo, Sigma?"
"INTRO2-2_ZERO","Per proteggerci dall'incidente..."
"INTRO2-3_ZERO","Abbiamo copiato un corpo Sigma."
"INTRO2-4_ZERO","Siamo immuni ai virus."
"INTRO2-5_ZERO","Copiare Sigma non e' un rischio."
"INTRO2-6_ZERO","Chi sei? Identificati!"
"INTRO2-7_ZERO","Sono Lumine..."
"INTRO2-8_ZERO","Direttore dell'ascensore e del Progetto Jakob."
"INTRO2-9_ZERO","Hmm... Capisco. Non muoverti, chiamo i soccorsi-"
"INTRO3-1_ZERO","Ah ah ah! Che bello rivederti, Zero."
"INTRO3-2_ZERO","Vile? Quindi non mentivano sulla tua presenza."
"INTRO3-3_ZERO","Mi piacerebbe restare, ma ho troppo lavoro..."
"INTRO3-4_ZERO","Sei un criminale! Lascia andare Lumine!"
"INTRO3-5_ZERO","Neanche per sogno. L'Ascensore e' nostro..."
"INTRO3-6_ZERO","Cosa pensi di fare, cosplayer di Boba Fett?"
