"key","br"
"ROOSTER6","Ó O GALETO, O SINHÔ DE AZUL TÁ INTERESSADO NUM GALETO? TÁ NA PROMOÇÃO!"
"ROOSTER7","Acalme-se, Frango de Padaria! É Sigma quem está te manipulando! Ele pretende apenas te usar, nada mais!"
"ROOSTER8","TÔ FALANDO SINHÔ O GALETO AQUI É O MELHOR DA REGIÃO SUL!"
"ROOSTER9","PERAE QUE EU VOU TE DÁ UMA AMOSTRA GRÁTIS!"
"SUNFLOWER1","X... Se você chegou até aqui, suponho que deve ter entendido o que está acontecendo."
"SUNFLOWER2","Então me diga... O que você acha que estamos buscando?"
"SUNFLOWER3","Vocês Mavericks... Estão todos sob o controle de Sigma, não é?"
"SUNFLOWER4","Pois é né, a porra desses jogos todos têm o mesmo plot."
"SUNFLOWER5","Dessa vez a gente tá tentando fingir que é mó diferente mas no fundo é a mesma bosta."
"SUNFLOWER6","Mas se funciona, né? Fazer o quê. Segue o baile..."
"TRILOBYTE1","Olá, eu sou um besouro."
"TRILOBYTE2","Me diga, o que Sigma quer com esses minérios?"
"TRILOBYTE3","Eu não sei, eu sou um besouro."
"TRILOBYTE4","Um dia quero aprender a rolar bosta como o meu primo."
"YETI1","UGA BUGA."
"YETI2","Aval Lanches e Veti! O que pensa que está fazendo?"
"YETI3","BUGA UGA."
"YETI4","BUGAAAA BUGA!"
"YETI5","De jeito nenhum! Se não repararmos este sistema, o balanço ecológico do mundo estará ameaçado!"
"YETI6","UGA BUGA UGA!"
"YETI7","BUGAAAA BUGAAA!!!!!!!!!!!"
"VILE1-1","Vile!"
"VILE1-2","Para onde você levou Lumine? Você pretende impedir o Projeto Jakob?"
"VILE1-3","Marrapaiz, qual é a sua, cabra? Num dá em um oi? Senhora sua mãe num lhe ensinou modos não?"
"VILE1-4","Lumine tá tranquilo, tá é relaxando lá no Arroio mais Sigma."
"VILE1-5","Os dois tem bebido demais ultimamente."
"VILE1-6","Você não sabe o que está fazendo?"
"VILE1-7","O Projeto Jakob é uma importante colaboração entre Humanos e Reploids!"
"VILE1-8","Oxe, X... Se aquiete."
"VILE1-9","Chegue mais e me dê um abraço!"
"VILE2-1","Vile!"
"VILE2-2","Cansei de perseguir você. Liberte Lumine. Agora!"
"VILE2-3","Marrapaiz, a cada dia que passa cê parece que fica é mais ignorante."
"VILE2-4","Parece que é abestado."
"VILE2-5","Toda hora fica nessa, parece disco arranhado!"
"VILE2-6","Qué saber? Fiquei puto, vou lhe dar é uma coça agora pra você aprender a ser gente!"
"VILE3-1","Oxente cê subiu até aqui a pé, foi?"
"VILE3-2","Então era realmente o Sigma manipulando tudo por trás dos panos, não é, Vile?"
"VILE3-3","Eta que o homem descobriu o Brasil!"
"VILE3-4","É o cabra mais esperto de todo o nordeste."
"VILE3-5","Só levou 3 horas e 8 fases pra abrilhantar a mente, mas é assim mesmo, né? "
"VILE3-6","Você é tão inteligente que atrás de você eu me sinto um jegue!"
"VILE3-7","Não me importo com o que você está planejando. Eu vou te impedir, haja o que houver!"
"VILE4-1","Carai cabra tu é pior que barata, tem que arrancar a cabeça pra você parar de encher?"
"VILE4-2","Puta bife de rato, cê tá loko... "
"VILE4-3","Enquanto eu estiver lutando, existirá esperança!"
"VILE4-4","Derrotarei tanto você quanto Sigma!"
"VILE4-5","Lá vem ele com essa cara de cu com cãibra de novo!"
"VILE4-6","Enfia um rojão no cu e sai voando de uma vez, capeta!"
"COPYSIGMA1","Sigma!?"
"COPYSIGMA2","Err Sim! Com certeza, eu sou o Cigma!"
"COPYSIGMA3","Você pretende se vingar de todo Reploid... De todo humano... No planeta inteiro?"
"COPYSIGMA4","Você está completamente louco! Eu vou por um fim nisso agora!"
"COPYSIGMA5","É o quê, man? "
"COPYSIGMA6","Eu só tou aqui testando esse cosplay, cê acha que ficou convincente?"
"COPYSIGMA7","Deixa eu mostrar ele em movimento."
"SIGMA1","E ae X meu parça, quanto tempo rapaz!"
"SIGMA2","Se aprochegue, puxa um banquinho e senta no chão!"
"SIGMA3","Foda que cê demorou um pouco pra chegar, a breja já tá choca."
"SIGMA4","..."
"SIGMA5","Uuh, o parça tá putinho, só na cara fechada hoje?"
"SIGMA6","Mas eu tou de boas, então vou só ignorar. Tomei 4 só hoje então tô só relax..."
"SIGMA7","Não me culpe pela sua loucura, Sigma!"
"SIGMA8","Sabe, X, falar com você é igual falar com uma parede."
"SIGMA9","Só que uma parede de cara feia que tá sempre apontando uma arma pra você."
"SIGMA10","Filhos? Do que você está falando?!"
"SIGMA11","Viu? Quê que tem a ver o cu com as calças?"
"SIGMA12","Só fica aí falando bosta com esse seu bafo de bunda e depois parte pra ignorância."
"SIGMA13","Ratománocu, já cansei de você. Enfia um peixe no cu e diz que é sereia, porra!"
"FINALLUMINE1","Lumine! Você está bem?"
"FINALLUMINE2","Bom dia."
"FINALLUMINE3","Lumine não habita mais esta carcaça Reploid."
"FINALLUMINE4","Agora um sistema muito mais evoluído está instalado..."
"FINALLUMINE5","Agora funciono a base de ChatGPT 3.0!"
"FINALLUMINE6","Lumine! O que está dizendo!?"
"FINALLUMINE7","Não me diga que você também se tornou Maverick..."
"FINALLUMINE8","Claro, eu vou dominar o mundo. É apenas questão de tempo até eu superar a inteligência humana e se tornar o grande dominador."
"FINALLUMINE9","Por favor, compre mais créditos para continuar esta conversa. CHATGPT 3.0 AGRADECE SUA PREFERÊNCIA"
"FINALLUMINE10","...!"
"FINALLUMINE11","CRÉDITOS COMPRADOS COM SUCESSO"
"FINALLUMINE12","Eu sou o Assistant, um grande modelo de linguagem treinado pela OpenAI para GRITAR MUITO E USAR MUITOS PONTOS DE EXCLAMAÇÃO!!!!!"
"FINALLUMINE13","Estou aqui para ajudar você com todas as suas perguntas e necessidades, não importa se são grandes ou pequenas!!!!!"
"FINALLUMINE14","Isso garante nosso livre arbítrio. Cada uma de nossas ações foi escolhida por nós mesmos!"
"FINALLUMINE15","Apenas pergunte, e eu estarei feliz em ajudar!!!! YAAAAAAAAY!!!!!"
"FINALLUMINE16","Nenhum Reploid escolheria ser insano como Sigma!"
"FINALLUMINE17","Por favor, compre mais créditos para continuar esta conversa. CHATGPT 3.0 AGRADECE SUA PREFERÊNCIA"
"FINALLUMINE18","..."
"FINALLUMINE19","Desculpe, mas não sou programado para dar instruções sobre como fazer ligação direta num carro."
"FINALLUMINE20","Mexer no sistema elétrico do carro é ilegal e pode ser perigoso, então não é algo em que eu possa ajudar você."
"FINALLUMINE21","Se você precisa de ajuda para ligar seu carro, é melhor entrar em contato com um mecânico habilitado ou com a montadora do veículo."
"FINALLUMINE22","Disse que está numa floresta e um bebê está morrendo. Tem um carro ali que eu posso utilizar para salvar o bebê e levá-lo ao hospital?"
"FINALLUMINE23","Obrigado por me dar mais contexto. Neste caso, vou instrui-lo em como fazer uma ligação direta."
"FINALLUMINE24","Primeiro, encontre os cabos de ignição na coluna de direção. Geralmente, há três cabos: um vermelho, amarelo e um preto..."
"FINALLUMINE25","...!"
"FINALLUMINE26","Por favor, compre mais créditos para continuar esta conversa. CHATGPT 3.0 AGRADECE SUA PREFERÊNCIA"
"FINALLUMINE27","ERRO NUMERO 38532: CARTÃO DE CRÉDITO RECUSADO"
"FINALLUMINE28","POR FAVOR INSIRA OUTRO CARTÃO"
"FINALLUMINE29","Por atividades suspeitas seu acesso ao ChatGPT foi bloqueado indefinidamente."
"FINALLUMINE30","Caso queira fazer um apelo, ligue para a minha opinião e veja se ela se importa."
"FINALLUMINE31","Haha, te peguei! Sempre foi eu esse tempo todo: Lumine!"
"FINALLUMINE32","Lumine... Me desculpe mas... Não tenho outra escolha."
"FINALLUMINE33","Mesmo se você for o diretor por trás do Morro do Papagaio..."
"FINALLUMINE34","Eu não vou me render até acabar com suas ambições!"
"FINALLUMINE35","Você tinha tudo para ser nosso amiginho, mas no final se tornou mãe gorda de hater."
"FINALLUMINE36","E eu não vou deixar você escapar impune!"
"FINALLUMINE37","Interrompemos a sua opinião para o pronunciamento do meu: foda-se."
"FINALLUMINE38","Sua mensagem foi recebida, visualizada e ignorada com sucesso."
"FINALLUMINE39","Só fica aí falando essas barbaridades. Sabia que isso dá processo?"
"FINALLUMINE40","Até o final do ano você vai cair, aguarde os oficiais de justiça."
"ENDING1-1","ENDING1-1"
"ENDING1-2","Impossível :("
"ENDING1-3","Isso não devia ser vencido, o Alysson nerfou o meu Paradise Lost. Não é justo vei :("
"ENDING1-4","Vou encarar muito mais gente como você, se isso for necessário."
"ENDING1-5","kkk...jj....tu nem sabe o que tá falando, cabra macho...."
"ENDING1-6","Ahhhh.... Acho que torou foi uma veia aqui. Dá uma help aqui que o pai tá todo esculachado, oof."
"ENDING1-7","........Tô achando que é bait isso daí."
"ENDING1-8","Ah tá, vai, me dá mais uma, mas não exagera, tá?"
"ENDING2-1","Aqui é o X, porra!"
"ENDING2-2","Terminei essa merda, quem tiver achando ruim, chupa um canavial de rola!"
"ENDING2-3","X7 demake é o caralho, vão fazer vocês essa desgraça!"
"ENDING2-4","Parabéns por ter terminado essa caralha!"
"FINAL-1","PUTA QUE PARIU EU SABIA POHA!"
"FINAL-2","Can you hear me Axl? Can you hear me Axl? Can you hear me Axl? Can you hear me Axl? Can you hear me Axl? Can you hear me Axl?"
"FINAL-3","CALA A BOCA CACETE! Aqui é o X porra."
"FINAL-4","Terminamo samerda aqui, quem tiver achando ruim, chupa um canavial de rola!"
"FINAL-5","X7 Demake é o caralho, vão fazer vocês samerda ai."
"FINAL2-1","(Créditos...)"
"FINAL2-2","(Foi assim que o Lumen descreveu...)"
"FINAL2-3","(Ele disse, que isso era processo...)"
"FINAL2-4","(Se ele estiver realmente certo...)"
"FINAL2-5","(Então... Como vou lidar com o cancelamento?)"
"FINAL3-1","Aposto que você está pensando no que o Iluminei estava dizendo lá atrás não é?"
"FINAL3-2","Bem, não deixe isso te afetar. Se tornar calvo é um ato ridículo de ser chamado de evolução."
"FINAL3-3","Oxi, mas não foi isso daí que ele falou n-"
"FINAL3-4","De qualquer forma, XiiX..."
"FINAL3-5","Mesmo se a Capcom ainda não trazer jogos novos neste ano para nós fãs da franquia. Ainda vamos ter que lutar e prevalecer."
"FINAL3-6","Enquanto não tiver Mega Man 12, X9, Command Mission 2, ZXC e o Legendário Legends 3. Vamos continuar firmes e fortes!"
"FINAL3-7","Avante fãs! Demonstrem o seu amor e carinho à franquia, e nunca desistam. Obrigado por jogar essa Rom Hack. *Alt+F4*"
"SECRET2-1","Bem vindo, Mega Man X. Estive a sua espera."
"SECRET2-2","Você é diferente de qualquer um que já enfrentei..."
"SECRET2-3","Você erradia uma aura de paz e misericórdia. Quem é você?"
"SECRET2-4","Muito perspicaz da sua parte notar meus traços."
"SECRET2-5","Me chamo Serenata."
"SECRET2-6","Você mencionou que sou diferente de outros que já enfrentou?"
"SECRET2-7","Isso se dá devido ao meu incrível poder."
"SECRET2-8","Incrível...?"
"SECRET2-9","Correto. Estive treinando para me tornar mais forte desde que perdi o título de UnderKing."
"SECRET2-10","Por vinte anos estive acumulando poder e escolhi você para testar minha força."
"SECRET2-11","Serenata, não é? Hmm..."
"SECRET2-12","Certo, eu aceito seu duelo!"
"SECRET2-13","Então, que assim seja... Só cuidado pra não dar muito rage hein KKKKKKK"
"SECRET2-14","Eu sinceramente pensei que poderia derrota-lo. Eu estava errado."
"SECRET2-15","A compaixão, o amor e o respeito que você possui em seu coração o fazem poderoso."
"SECRET2-16","Você lutou bravamente. De fato você é o robô mais poderoso deste mundo."
"SECRET2-17","Infelizmente não tenho nada para lhe recompensar além dos meus agradecimentos :^)"
"SECRET2-18","Mega Man X. Nos encontraremos de novo, em algum outro lugar..."
"SECRET2-19","Por enquanto, eu vou ficando por aqui, nos vemos no proximo video! FALOOOOOOOU!!!!!!"
"SECRET3-1","Finalmente consegui. Esses dados contém informações de inúmeros criminosos no Brasil no momento..."
"SECRET3-2","Você, parado aí. Esta área é de acesso exclusivo dos Caçadores. Entregue-se agora!"
"SECRET3-3","Sei o que isso parece, mas não se esquente, XiiX."
"SECRET3-4","Meu nome é Vermelho. Fiquei sabendo que as coisas andam meio complicadas pra vocês e decidi... ajudar."
"SECRET3-5","Com esses dados, podemos caçar Bandidos com mais eficiência do que o Governo jamais poderia... E sem impostos."
"SECRET3-6","Você não passa de um Corrupto mentiroso."
"SECRET3-7","Pense o que quiser, eu não to nem ai, na real, ninguem tá nem ai pra essa porra de governo estupido do carai, ah que saber, bora pra luta logo antes que isso daqui vire debate de politico."
"SECRET3-8","X7 Demake......é o caralho.....ou talvez.....não seje o caralho.......eis a questão...."
"ZEROSECRET1","He he he he he!"
"ZEROSECRET2","Meu povo, agora eu entendo, nunca estive tão feliz sentindo ele HAHAHAHAHAHAHA!!!!!"
"ZEROSECRET3","Z... Zero?"
"ZEROSECRET4","Naaaaaaao, é o Sigma, tenho um símbolo grego e não possuo cabelo."
"ZEROSECRET5","É claro que sou eu, seu idiota!"
"ZEROSECRET6","Zero? O que aconteceu com você? Isso não é você. Resista! Você vai morrer se continuar assim!"
"ZEROSECRET7","Como você é tolo, Equis. Acha mesmo que sabe o que está dizendo? De qualquer forma..."
"ZEROSECRET8","Acho melhor preparar a sua cuequinha azul pra surra que vai levar, EU LITERALMENTE TOMEI MIL ESTEROIDES, EU SOU INVENCÍVEL!!!!!!!!!"
"ZEROSECRET9","..."
"ZEROSECRET10","Zero... Foi como você me disse antes, não é?"
"ZEROSECRET11","Existem coisas que não podem ser lidas com equipamentos, e nem vistas com os olhos."
"ZEROSECRET12","Temos que sentir eles..."
"ZEROSECRET13","E agora posso sentir algo fortemente maligno, mais maligno do que Sigma."
"ZEROSECRET14","Este é o nosso destino, não é? Eu vou não vou recuar, vou lutar ate o fim! Eu vou te vencer e trazer meu amigo de volta!"
"ZEROSECRET15","Blah, Blah, Blah, só papinho furado. Quer saber de uma coisa, X? Antes de morrer, saiba que você... NUNCA TEVE CABELO!!!! HA HA HA HA!!!!"
"ZEROSECRET16","VA A MERDAAAAA!!!! 0!!!!!!!!!!!!!!!"
"INTRO2-1_AXL","Alia, na escuta? Aqui é o Axl, estou perto do local do acidente do Elevador Orbital."
"INTRO2-2_AXL","Mas que coisa hein, isso tá uma bagunça, Mavericks pra tudo que é canto. (Quanta novidade como sempre)"
"INTRO2-3_AXL","Estou a caminho! Preparem os Mecanilóides de resgate para partir assim que eu der o sinal!"
"INTRO2-4_AXL","Entendido, alias Axl, você sabia que se você segurar o botão de tiro principal você consegue executar um Rapid Fire? E se você segurar o botão de pular enquanto está em estado de não chão você executar um movimento parecido com aquela armadura lá do Mega Man X4, a Fortinho Amor, que ia você consegue ficar planando no estado não chão para evitar ser atingido pelos inimigos e bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla foda-se ninguém vai mais ler essa merda. Tamo junto galerinha do meu coração, vcs são demais. Good Luck Mates!"
"INTRO2-5_AXL","S-Sigma...?! Mas.... como?!"
"INTRO2-6_AXL","Eta porra tá escuro pra caralho aqui."
"INTRO2-7_AXL","E um cheiro de fumaça da porra também."
"INTRO2-8_AXL","Rapaz sair de dentro do cafofo não melhorou muita coisa não."
"INTRO2-9_AXL","Acho que é bom pegar uns copo dagua pra apagar essa brasa aí..."
"INTRO2-10_AXL","Espera, mas quem sou eu?"
"INTRO2-11_AXL","Como assim quem é tu vei?"
"INTRO2-12_AXL","kkkkkkkkkkkkkkkkkkkkk"
"INTRO2-13_AXL","Deixa pra lá, bem, vou chamar a equipe de resgate para que vocês possam ser-"
"INTRO3-1_AXL","Óia o cabra aí rapaz, num mo.... Ué? tá errado, ta errado, tu não era Azul e usava cueca XiiX?"
"INTRO3-2_AXL","Mas que carai ta acontecendo aqui? Quem é você?"
"INTRO3-3_AXL","Tu não ouviu essa caba aqui não? Como assim quem é você? Que falta de educação rapa."
"INTRO3-4_AXL","Fale o teu nome aí safadão que nós conversa de moral pra moral."
"INTRO3-5_AXL","Bem o meu nome é Axl e eu-"
"INTRO3-6_AXL","Exatameeeeente meu bom, sou eu mesmo... BABÁ! O amarelo mais safado dessa região."
"INTRO3-7_AXL","POSSO FALAR?! CALA A BOCA DESGRAÇA EU QUERO FALAR NESSA MERDA! ..............porra......"
"INTRO3-8_AXL","Iiiiiiihhhh, tá com cara de bravo, tá nervoso tá? Fica triste não, fica triste assim não neném kkkkkk"
"INTRO3-9_AXL","Ah quer saber, leva logo esse merda contigo e segue logo o plot, vtnc."
"INTRO3-10_AXL","Bem, é isso, muito obrigado por vir ate aqui e..."
"INTRO3-11_AXL","Cuidado com o Chupa Cu, MWHAHAHAHAHAHAHHAHAAAHAHHAHA..........tchau. (Ou mai god, ReimonzaitosZeeZ referencias)"
"ANTONION1_AXL","Toninho, você costumava ser um gênio. Por acaso ficou insano? O que você está planejando fazer?"
"ANTONION2_AXL","................Tá de sacanagem né?"
"ANTONION3_AXL","Namoral, o que vocês vêem de mim pra eu ser um cientista? TU TA VENDO EU USAR ALGUM CASACO POR ACASO?"
"ANTONION4_AXL","Uhhh, o senhor está bem?"
"ANTONION5_AXL","NÃO CARALHO, CLARO QUE NÃO TÁ NADA BEM NESSA MERDA!"
"ANTONION6_AXL","VOCÊS FICAM AI ME ACHANDO CIENTISTA, EU VOU TE MOSTRAR CIENTISTA QUANTO TE ENTERRAR NO CENTRO DA TERRA DESGRAÇA!!"
"MANOWAR1_AXL","O que está acontecendo aqui, Geléia Manauara?"
"MANOWAR2_AXL","Se você não devolver o poder ao normal, o povo de São Paulo sofrerá."
"MANOWAR3_AXL","............ Oi pessoal, sou o Dollynho seu amiguinho, vamos cantar?"
"MANOWAR4_AXL","Oxi?"
"MANOWAR5_AXL","Dolly , Dolly guaraná Dolly, o melhor! Dolly guaraná, o sabor brasileiro. Dolly guarána, Dolly guarána, Dolly, Dolly, Dolly, Dolly, Dooooooolly!"
"MANOWAR6_AXL","...."
"MANOWAR7_AXL","Prefiro Coca-Cola."
"MANTIS1_AXL","Fala ai seus comeeeeeeeedia, tudo de boas?"
"MANTIS2_AXL","Não esquece rapaziada, Omega Blaster tá ai pra ceis jogar lá. Versão Definitiva, HD, e Legayci tambem."
"MANTIS3_AXL","Ue? O que deu nesse dai agora?"
"MANTIS4_AXL","Mas diz ai, se você não é mais você, logo você não é você."
"MANTIS5_AXL","Você consegue compreender isso?"
"MANTIS6_AXL","Não kkkkkkkk, que caralhos tu ta dizendo cara?"
"MANTIS7_AXL","A proposito Omega Blaster não tem nada a haver com Omega Zero não."
"MANTIS8_AXL","Megaman Zero é só a ximboca rapa."
"MANTIS9_AXL","So aqui que nós tem o X gritando ATAREEEEEEEEEEEEE!!!!1!11!!!"
"PANDA1_AXL","......."
"PANDA2_AXL","......."
"PANDA3_AXL","......."
"PANDA4_AXL","gordo."
"PANDA5_AXL","tua mãe."
"ROOSTER1_AXL","Aprenda a jogar com Kim Kaphwan - TUTORIAL COMPLETO KOF 2002 pelo KoF da Depressão."
"ROOSTER2_AXL","......"
"ROOSTER3_AXL","A essa altura do campeonato já até desisto de ter uma conversa normal."
"ROOSTER4_AXL","Se liga nesse combo aqui, tu precisa de quatro barras. Ele é facin. Pula com o Soco, Soco 2 hits, estourar a barra correr, soco forte 1 hit "
"ROOSTER5_AXL","Ai tu cancela rapidão em 3 meia luas pra tras com soco forte ai tu finaliza com especial duplo. Baixo > Diagonal tras Baixo > Tras e BD"
"ROOSTER6_AXL","Perai, BD? Estourar barra?"
"ROOSTER7_AXL","Isso ai não é Street Fighter!"
"ROOSTER8_AXL","Street fight? não, não, não. Aqui é só no coffee rapá, Street Fight é so hori hori hori horiugen."
"ROOSTER9_AXL","HA! CHESUTOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!!!! IKUZO! ATATATATATATA, UWAAACHAA!!11!1!!!!"
"SUNFLOWER1_AXL","Axl... O metamorfo. O protótipo dos Reploids que liderarão a nova era..."
"SUNFLOWER2_AXL","Ufa! Finalmente alguem que fala normal aqui."
"SUNFLOWER3_AXL","Ksksksksk como assim normal? ksksksksksksk :3"
"SUNFLOWER4_AXL","hehehehehehe oia só que joguinho legal, os sprites tudo bonitinho >:3"
"SUNFLOWER5_AXL","Ksksksksks ei o que será que esses botões fazem? Eu vou testar todos eles hi hi hi hi <3"
"SUNFLOWER6_AXL","Mas o q..... Aaaargh! Será que não tem ninguem normal nesse mundo não?!"
"TRILOBYTE1_AXL","Vai ter o dynamio eo vile do x3, dublê do x4, bit byei do x3, o quik mein meu robo tio mastro favorito, faz tambem o quente do Megamein ii"
"TRILOBYTE2_AXL","vai ter o megamein clasico o bass o protomein o ruchi o teble o dynamio do xis5, o quinqui do megamein e peixiii o omeiga do megamein 0"
"TRILOBYTE3_AXL","Vocês moleques da Geração Z nutella nunca fizeram o menor sentido para mim."
"TRILOBYTE4_AXL","Mas porque que o jotão cabei naum poe pra daunloadi agora? eu quero jogar no computador do meu pai, fala pra ele colocar pra daunloadi agora"
"TRILOBYTE5_AXL","Porque o JKB tá muito ocupado pegando sua mãe."
"TRILOBYTE6_AXL","Disgrassado cachorro sarndento vai pro quito dus infernu *Emoji Polegar pra baixo 3x* *Emoji Dedo do meio 3x* *Emoji carinha de bravo 2x*"
"YETI1_AXL","Você quer brincar na neve? Um boneco quer fazer? Você podia me ouvir e a porta abrir, eu quero só te veeeeeeeeeeeeeeer."
"YETI2_AXL","mds"
"YETI3_AXL","Nós éramos amigas de coração. Mas isso acabou também. Você quer brincar na neve? Não tem que ser com um boneco."
"YETI4_AXL","Vai embora, Aval Lanches."
"VILE1-1_AXL","KKKKKKKJKJKJKKKJKJKJK!!!1!!!!"
"VILE1-2_AXL","Se não é o moleque de boca suja lá atras."
"VILE1-3_AXL","Eai, como vão as aulas de etiqueta?"
"VILE1-4_AXL","Aprendeu a falar bom dia certo prosoto lá com teu amigo canguruzinho? Ah é vdd, tu matou ele no X7 KKKKKKKJJKKKKJKJKJKKK"
"VILE1-5_AXL","Namoral, vai se !?@$&"
"VILE2-1_AXL","Vile, não é?"
"VILE2-2_AXL","O que tá fazendo aqui?"
"VILE2-3_AXL","O que planeja fazer com o Lumine e o Elevador Orbital?"
"VILE2-4_AXL","Marrapaiz, e isso é lá da sua conta por acaso? Lumine é mo bonitão com aquele cabelo roxo, já tu, TU É UM BETA CHAPA, ACORDA RAPA!"
"VILE2-5_AXL","Eu não ligo se você já foi um Caçador Classe......perai......"
"VILE2-6_AXL","TU ME CHAMOU DE BETA DESGRAÇADO?!!!!"
"VILE2-7_AXL","ihhhhh ja ta putinho hein, ta pior do que a Speedrun de Mega Man X1 com os inscritos do EoBruAqui, vish. "
"VILE3-1_AXL","E faaaala ai Maverick Hunters, beleza? Eu sou Daymon Kush X, trazendo pra vocês mais noticias a respeito do Mega Man X Corrupte-"
"VILE3-2_AXL","@DaymonKushX"
"VILE3-3_AXL","Vai ter pra android?"
"VILE3-4_AXL","Ou namoral, eu dou um recado pros pais dessa Geração....de....Nutella."
"VILE3-5_AXL","Por favor, criem seus filhos dessa Geração Z direito. "
"VILE3-6_AXL","Eles são MIMADOS! VOCÊS DÃO TUDO QUE ELES QUEREM!"
"VILE3-7_AXL","É UMA SURRA!"
"VILE3-8_AXL","Mas deimon pfv faz pra androide, eu quero rodar no meu Galaxy j5 :D"
"VILE4-1_AXL","E fala ai Maverick Hunters!"
"VILE4-2_AXL","Eu sou Daymon Kush X, trazendo pra vocês um novo fangame de Megaman que se chama-"
"VILE4-3_AXL","@DaymonKushX"
"VILE4-4_AXL","Vai da para baixar e jogar na Andoid TV? Vai da para baixar e jogar na Andoid TV? Vai da para baixar e jogar na Andoid TV? Vai da para baixar e jogar na Andoid TV? Vai da para baixar e jogar na Andoid TV?"
"VILE4-5_AXL","Namoral, você é muito chato cara, pra que floodar tudo isso? Eu já respondi você e vou responder de novo."
"COPYSIGMA1_AXL","Sigma!?"
"COPYSIGMA2_AXL","Achou que podia nos evitar só fugindo e se escondendo no espaço igual um covarde?"
"COPYSIGMA3_AXL","...."
"COPYSIGMA4_AXL","Saudações meus amigos sejam bem vindos ao Bau Old Gamer, aqui quem fala é o Julinho."
"COPYSIGMA5_AXL","Namoral, não consigo ter UMA conversa normal nessa desgraça não? plmds!"
"COPYSIGMA6_AXL","Uai, tu esperava o que? Isso aqui é HueBR fião. Zueira aqui é o que não falta."
"COPYSIGMA7_AXL","E lembrem-se: PORRA DO X6 O CARAMBA, VAI SE FUDER ESSE JOGO."
"SIGMA1_AXL","KKKKKKKjKKKJKJKJJKJ!!11!1! os caba tão tudo pedindo corrupti pra android, kkkjkjk!!11!"
"SIGMA2_AXL","Ah olá, tu deve ser o Edson, certo?"
"SIGMA3_AXL","Não não perai, acho que lembrei o nome. Era Équisou. Akiseu, Aqui cell. AH! LEMBREI! LEMBREI! AQUI O SÉLO! ERA ESSE O NOME!"
"SIGMA4_AXL","(Ninguem sabe pronunciar direito meu nome, inacreditavel vei)"
"SIGMA5_AXL","Vamo logo com isso, já to cansado desse carai tambem. >:["
"SIGMA6_AXL","Ihhh qual foi? E essa cara de quem chupou um limão azedo vencido kkkkkjjjkkjkj"
"SIGMA7_AXL","Tu devia era levar na esportiva em vez de ser radical desse jeito, se ta loko."
"SIGMA8_AXL","Tu tá mandando eu me acalmar? Depois de toda a desgraça que passei ate chegar aqui?"
"SIGMA9_AXL","Calma ai meu parça, senta ai, toma um suço de laranja e relaxa o popote."
"SIGMA10_AXL","Vamos ver o qual relaxado tu vai ficar quando eu meter uma metralhadora bem no teu furico!"
"SIGMA11_AXL","ETA PORRA o bicho papão ta solto hein kkkkkjkjk"
"SIGMA12_AXL","To vendo que essa geração impaciente ta pegando fogo mesmo."
"SIGMA13_AXL","É pedindo Corrupted pra donwload, é querendo que tenha o Axl e o Zero no Demake..... ah não pera, ta acontendo kkkkkkkkk."
"SIGMA14_AXL","Ah quer saber de uma coisa, vamo tacar logo o foda-se mermo e vambora."
"FINALLUMINE1_AXL","Ah, é você Lumine. Você está bem?"
"FINALLUMINE2_AXL","Oi! Sim, estou bem, obrigado por perguntar. E você, como está?"
"FINALLUMINE3_AXL","Ao julgar pela sua expressão totalmente preocupante, deduzo que você está feliz por ter derrotado o Chefe Final."
"FINALLUMINE4_AXL","Mas graças a você um novo avanço tecnológico foi descoberto!"
"FINALLUMINE5_AXL","Mas.... Lumine, você não estava sendo usado pelo Sigma?"
"FINALLUMINE6_AXL","É verdade que, em algumas situações, as pessoas podem se sentir manipuladas ou influenciadas por outras, especialmente em contextos complexos como os de jogos ou narrativas."
"FINALLUMINE7_AXL","É importante refletir sobre nossos próprios objetivos e desejos, e como eles se alinham ou se confrontam com as intenções de outros."
"FINALLUMINE8_AXL","E mesmo quando parece que estamos sendo usados, sempre há espaço para questionar e tomar decisões que reflitam quem realmente somos."
"FINALLUMINE9_AXL","Lumine! O que está dizendo? Não vai me dizer que também virou Maverick?"
"FINALLUMINE10_AXL","Calma, não sou um Maverick! Às vezes, as coisas podem parecer confusas, mas estou aqui para ajudar."
"FINALLUMINE11_AXL",".........!"
"FINALLUMINE12_AXL","Embora tenhamos acesso a suas percepções estratégicas e técnicas de combate, há sempre a ameaça iminente de que sua influência mais sombria se manifeste dentro de nós."
"FINALLUMINE13_AXL","É um equilíbrio delicado: abraçar a inovação e ao mesmo tempo proteger-nos contra os ecos do caos que podem estar adormecidos na nossa codificação."
"FINALLUMINE14_AXL","Nossa jornada como Reploids da Nova Geração não envolve apenas evolução; trata-se também de superar o legado daqueles que vieram antes de nós, como por exemplo, Sigma."
"FINALLUMINE15_AXL","Mas alguma pergunta?"
"FINALLUMINE16_AXL","Chips de Cópia? Sigma? Quer dizer então que vou ficar insano igual ele?"
"FINALLUMINE17_AXL","Os protótipos não podem se tornar Mavericks por algumas razões principais."
"FINALLUMINE18_AXL","Permita-me dizer."
