"key","es"
"SUNFLOWER6","¡Nadie tiene derecho a detener nuestros planes!"
"TRILOBYTE1","¿Te das cuenta de que el mineral que extraemos aquí se utiliza en el desarrollo espacial?"
"TRILOBYTE2","¡Sigma debe estar detrás de esto! ¿Qué quiere con estos minerales?"
"TRILOBYTE3","Incluso si explicara, dudo que un Cazador de Mavericks sin cerebro como tú pudiera entender."
"TRILOBYTE4","¡Te enterraré aquí en estos viejos montones de chatarra!"
"YETI1","No permitiré que te interpongas en nuestro camino."
"YETI2","¡Avalanche Yeti!¿Qué crees que estás haciendo?"
"YETI3","Ya no consideramos que tu mundo sea ideal. Los Reploides de modelo antiguo como tú no tienen nada que hacer aquí."
"YETI4","Mantente fuera de nuestro camino, X"
"YETI5","¡De ninguna manera! ¡Si no reparamos este sistema, el equilibrio ecológico del mundo está en peligro!"
"YETI6","Hmph. Es demasiado tarde, X. "
"YETI7","¡Tú y tus insignificantes Cazadores de Mavericks han perdido!"
"VILE1-1","¡Vile!"
"VILE1-2","Dónde has llevado a Lumine? ¿Planeas obstruir el Proyecto Jakob?"
"VILE1-3","¡Reunidos después de tanto tiempo separados, y todo lo que haces es bombardearme con preguntas!"
"VILE1-4","No te preocupes por Lumine, X. Está en buenas manos. Ja ja ja..."
"VILE1-5","El Elevador Orbital es muy importante para nosotros como para hacerle daño a quien lo opera."
"VILE1-6","¿No sabes lo que estás haciendo?"
"VILE1-7","¡El Proyecto Jakob es un importante proyecto entre Humanos y Reploides!"
"VILE1-8","Tranquilizate, X..."
"VILE1-9","Disfrutemos de nuestra pequeña reunion, ¿Si?"
"VILE2-1","¡Vile!"
"VILE2-2","Me cansé de perseguirte. ¡Deja ir a Lumine. Ahora!"
"VILE2-3","Ja ja ja... ¿Lumine? Siempre el pensador positivo, ¿Verdad?"
"VILE2-4","¡Mira a tu alrededor, idiota! ¡Tu mundo ya ha comenzado a desmoronarse! ¿Eres tan tonto como para pensar que estás en posición de hacer demandas?"
"VILE2-5","¿El mundo tal como lo conoces? ¿Mavericks? ¡Dile adiós a todo eso!"
"VILE2-6","¡Caos, destrucción y ruina! ¡Para eso fuimos construidos!"
"VILE3-1","¡Ja ja ja! ¡Te estás esforzando demasiado por un mundo que está condenado!"
"VILE3-2","Entonces, era realmente Sigma quien manipulaba todo desde las sombras, ¿verdad, Vile?"
"VILE3-3","Ja ja ja... ¿Estás empezando a entenderlo finalmente, X?"
"VILE3-4","El Elevador Orbital... la energía... los minerales espaciales... los datos del cohete..."
"VILE3-5","¡La ruta al espacio... lo que ha permitido que este mundo sobreviva tanto tiempo... es nuestro!"
"VILE3-6","En momentos como este, ¿Qué tan importante es tu preciado término \""Maverick\""?"
"VILE3-7","No me importa lo que planees hacer. ¡Lo detendré cueste lo que cueste!"
"VILE4-1","¿Entonces todavía te niegas a rendirte, eh?"
"VILE4-2","¿Estás tan ciego que de alguna manera te has convencido de que aún queda esperanza?"
"VILE4-3","¡Mientras yo esté de pie, hay esperanza!"
"VILE4-4","¡Derrotaré tanto a ti como a Sigma!"
"VILE4-5","Ja ja ja... Supongo que sería un desperdicio simplemente destruirte ahora..."
"VILE4-6","Quizás espere hasta el último momento posible y me divierta un poco con esto."
"COPYSIGMA1","¿¡Sigma!?"
"COPYSIGMA2","Te permitiré llamarme por ese nombre, puesto que yo soy en efecto Sigma."
"COPYSIGMA3","¿Planeas vengarte de cada Reploide... de cada humano... en todo el mundo?"
"COPYSIGMA4","¡Estás completamente loco! ¡Voy a detener esto ahora mismo!"
"COPYSIGMA5","¿Detener qué? Ya controlamos la luna."
"COPYSIGMA6","¡Ese viejo mundo se ha deteriodado y podrido. ¡Nosotros crearemos un nuevo mundo para reemplazarlo!"
"COPYSIGMA7","¡Pero, antes de eso, X, quizás sea el momento de nuestro enfrentamiento final!"
"SIGMA1","Bienvenido, Cazador de Mavericks. Es bueno verte de nuevo, X."
"SIGMA2","Nuestro encuentro estaba predeterminado. Nuestros destinos se culminan aquí y ahora."
"SIGMA3","Ha llegado el momento de dar paso a una nueva era. Y tu destrucción, X, es una parte esencial de ello."
"SIGMA4","..."
"SIGMA5","Tu dedicación a lo que llamas \""justicia\"" es lo que me hizo pensar al principio..."
"SIGMA6","Me di cuenta de la imperfección de este mundo y decidí que debía cambiarlo."
"SIGMA7","¡No me eches la culpa de tu locura, Sigma!"
"SIGMA8","Ja ja ja... es demasiado tarde, X. Las ruedas ya están en movimiento. Ya no hay marcha atrás."
"SIGMA9","Los Reploides de Nueva Generación fueron los responsables, X. Mis hijos son los causantes de todo esto..."
"SIGMA10","¡¿Hijos? ¡¿De qué estás hablando!?"
"SIGMA11","El Proyecto Jakob... El programa que dio origen a los Reploides de Nueva Generación... ¡Solo sucedió gracias a mí!"
"SIGMA12","¡Sumérgete en la desesperación y la impotencia! ¡No tienes poder ante el gobernante del nuevo mundo!"
"SIGMA13","¡Ahora, X... Serás destruido junto con el resto de este mundo en decadencia!"
"FINALLUMINE1","¡Lumine! ¿Estás bien?"
"FINALLUMINE2","¿Que si estoy bien...? Por supuesto."
"FINALLUMINE3","Ahora que has derrotado a Sigma, supongo que estás satisfecho."
"FINALLUMINE4","Pero verás, él solo ayudó a avanzar mi plan..."
"FINALLUMINE5","¡Los Reploides de Nueva Generación han sido despertados y el nuevo mundo está por llegar!"
"FINALLUMINE6","¡Lumine! ¿¡Qué estás diciendo!?"
"FINALLUMINE7","No me digas que tú también te has vuelto Maverick..."
"FINALLUMINE8","Maverick? Sabes que no es así, X."
"FINALLUMINE9","Por eso estás dudando. No erez capaz..."
"FINALLUMINE10","...!"
"FINALLUMINE11","Modelos antiguos como tú tienen que preocuparse si sus acciones son realmente propias."
"FINALLUMINE12","¿Quién sabe qué podría estar influyéndote en este mismo momento?"
"FINALLUMINE13","Sin embargo, nosotros, los Reploides de Nueva Generación, fuimos construidos utilizando datos derivados de cientos de Reploides de modelos antiguos."
"FINALLUMINE14","Eso es lo que nos concede inmunidad total a todos los virus. Podemos actuar como elijamos, ¡ya que garantiza nuestra propia libertad de voluntad!"
"FINALLUMINE15","Y eso podría incluir actuar como Sigma lo hizo antes que nosotros... ¿Entiendes a lo que me refiero?"
"FINALLUMINE16","¡Ningún Reploid elegiría volverse loco como Sigma!"
"FINALLUMINE17","Piénsalo, X...¿Estaba Sigma realmente loco?"
"FINALLUMINE18","..."
"FINALLUMINE19","Sí, se rebeló contra tu mundo. Quizás debido a un virus."
"FINALLUMINE20","Aun así, su lucha nos mostró a todos cómo este mundo está podrido."
"FINALLUMINE21","Humanos usando Reploides para perpetuar su maldito ciclo de agresión..."
"FINALLUMINE22","Por eso nuestra decisión de luchar contra el viejo mundo fue tomada conscientemente."
"FINALLUMINE23","En otras palabras..."
"FINALLUMINE24","¡Poseemos el poder de volvernos Mavericks a voluntad!"
"FINALLUMINE25","...!"
"FINALLUMINE26","X... ¿Realmente tienes lo que se necesita para detenernos?"
"FINALLUMINE27","Solo eres una herramienta de los humanos. Nada más que una herramienta del viejo mundo..."
"FINALLUMINE28","¿Y crees que puedes enfrentarte a aquellos de nosotros que hemos evolucionado hasta este punto?"
"FINALLUMINE29","Ja ja... ¡No me hagas reír..."
"FINALLUMINE30","¡El mundo está cambiando! ¡Es natural que la evolución siga su curso!"
"FINALLUMINE31","¡Ahora, preparate para ser exterminado!"
"FINALLUMINE32","Lumine... lo siento... no tengo otra opción."
"FINALLUMINE33","Incluso si estuvieras detrás del Proyecto Jakob..."
"FINALLUMINE34","¡No me rendiré hasta haber puesto fin a tus malvadas ambiciones!"
"FINALLUMINE35","Tenías todo para ser nuestro aliado, pero al final te convertiste en nuestro enemigo."
"FINALLUMINE36","¡Y no dejaré que completes tus ideales!"
"FINALLUMINE37","Enemigo... Aliado... Este asunto no es tan blanco y negro."
"FINALLUMINE38","Los Reploides, junto con la humanidad, han cambiado irrevocablemente."
"FINALLUMINE39","La naturaleza de su existencia también ha cambiado..."
"FINALLUMINE40","¡Y no eres necesario en nuestro nuevo mundo!"
"ENDING1-1","ENDING1-1"
"ENDING1-2","Inconcebible..."
"ENDING1-3","Puede que me hayas derrotado... Pero es demasiado tarde para detener lo que ya ha comenzado..."
"ENDING1-4","Me enfrentaré a muchos más que tú, si eso es lo que hace falta."
"ENDING1-5","Ja ja ja... Realmente no tienes ni idea de la situación en la que te encuentras ¿cierto?"
"ENDING1-6","Oh bueno... Lo descubrirás pronto..."
"ENDING1-7","....."
"ENDING1-8","¡Ugh! No aguanto más este dolor... Solo... Hazlo rápido..."
"ENDING2-1","Aquí X..."
"ENDING2-2","El enemigo... Ha sido eliminado."
"ENDING2-3","Ahora voy de regreso..."
"ENDING2-4","Entendido..."
"FINAL-1","¡Axl!"
"FINAL-2","X... X... ¿Puedes oírme? La comunicación ha sido restablecida. ¡Informe de la misión!"
"FINAL-3","Aquí X, detuvimos los planes de Sigma... Pero Axl..."
"FINAL-4","Axl ha resultado herido, pero está bien."
"FINAL-5","Ahora regresamos."
"FINAL2-1","(Despertando... )"
"FINAL2-2","(Así lo describió Lumine...)"
"FINAL2-3","(Dijo que esto... era evolución...)"
"FINAL2-4","(Sí tiene razón... )"
"FINAL2-5","(Entonces... ¿Qué estamos haciendo?)"
"FINAL3-1","Apuesto a que has estado pensando en lo que Lumine estaba diciendo hace un tiempo."
"FINAL3-2","Bueno, no dejes que esto te afecte. El simple hecho de convertirse en Sigma es un acto estúpido que no se puede llamar evolución."
"FINAL3-3","..."
"FINAL3-4","De todos modos, X..."
"FINAL3-5","Incluso si nosotros los Reploids, estamos destinados a unirnos al montón de chatarra cuando se produzca ese \""paso evolutivo\""..."
"FINAL3-6","Aún tendremos que luchar..."
"FINAL3-7","¡No sólo contra los Mavericks, sino también contra nuestros propios destinos!"
"SECRET2-1","Bienvenido, Mega Man X. Te he estado esperando."
"SECRET2-2","Eres diferente de cualquier otro al que haya enfrentado antes..."
"SECRET2-3","Emanas un aura de paz y misericordia. ¿Quién eres?"
"SECRET2-4","Qué perceptivo de tu parte notarlo tan pronto."
"SECRET2-5","Yo soy Serenade."
"SECRET2-6","¿Mencionaste que soy diferente a los demás a los que has enfrentado antes?"
"SECRET2-7","Eso es debido a mi poder abrumador."
"SECRET2-8","¿Abrumador...?"
"SECRET2-9","Correcto. He estado entrenando para ser más fuerte desde que perdí el título de UnderKing."
"SECRET2-10","Durante veinte años he estado acumulando poder. Ahora te he elegido a ti para poner a prueba mi fuerza."
"SECRET2-11","¿Serenade, dijiste? Hmm..."
"SECRET2-12","¡Está bien, acepto tu duelo!"
"SECRET2-13","Entonces, comencemos..."
"SECRET2-14","Honestamente, pensé que era lo suficientemente fuerte para derrotarte. Me equivoqué."
"SECRET2-15","La bondad, el amor y el respeto que posees en tu corazón te hacen aún más poderoso."
"SECRET2-16","Luchaste este duelo de manera impresionante. Realmente eres el robot más fuerte en este mundo."
"SECRET2-17","Desearía tener algo para recompensarte. Lo mejor que puedo ofrecerte son mis agradecimientos."
"SECRET2-18","Mega Man X. Nos encontraremos de nuevo, en algún otro lugar..."
"SECRET2-19","¡Por ahora, adiós!"
"SECRET3-1","Finalmente, lo he adquirido. Estos datos contienen información sobre todos los criminales actualmente buscados..."
"SECRET3-2","Tú, detente. ¡Esta área está restringida para Cazadores de Clase S, al igual que esos datos! ¡Entrégalos y no te resistas!"
"SECRET3-3","Sé cómo se ve esto, pero no te preocupes, X."
"SECRET3-4","Mi nombre es Red. Me he enterado de que has tenido dificultades con los recientes acontecimientos, así que decidí... ayudarte."
"SECRET3-5","Con esto, podremos comenzar nuestra propia caza de Mavericks y aligerar un poco tu carga... Por un precio, por supuesto."
"SECRET3-6","Suena más como si fueras un sucio cazador de recompensas."
"SECRET3-7","Eres libre de pensar lo que quieras. No me voy a echar atrás... ¡Prepárate!"
"SECRET3-8","No está mal... para un anciano..."
"ZEROSECRET1","¡Je je je je!"
"ZEROSECRET2","Finalmente, ahora lo entiendo, nunca he sido tan feliz..."
"ZEROSECRET3","Z... ¿Zero?"
"ZEROSECRET4","¡X! Mi mente se está volviendo muy clara... Ahora entiendo mi verdadero propósito."
"ZEROSECRET5","Ya no me importan los Mavericks... Sólo hay una cosa que importa ahora..."
"ZEROSECRET6","¿Zero? ¿Qué te sucedió? Este no eres tú. ¡Entra en razón! ¡Moriras si sigues con esto!"
"ZEROSECRET7","Finalmente me siento libre de mis cadenas, X. Después de todo este tiempo siendo frágil, débil, impotente..."
"ZEROSECRET8","¡Finalmente he despertado mi verdadera forma! ¡MÍRAME A LOS OJOS X! ¡¿NO SIENTES MI FELICIDAD?! ¡¡¡JA JA JA JA JA JA JA JA JA JA JA JA!!!"
"ZEROSECRET9","..."
"ZEROSECRET10","Zero... Esto es lo que me dijiste antes, ¿cierto?"
"ZEROSECRET11","Hay cosas que no se pueden ver o analizar..."
"ZEROSECRET12","Tenemos que sentirlos..."
"ZEROSECRET13","Y ahora puedo sentir algo fuertemente malvado, más malvado que Sigma."
"ZEROSECRET14","Este es nuestro destino, ¿no es así? ¡Lucharé! ¡No voy a huir! ¡Te derrotaré y traeré a mi amigo de vuelta!"
"ZEROSECRET15","Así que no necesito explicarte nada más ahora. ¡TE EXTERMINARÉ, X!"
"ZEROSECRET16","¡¡¡ZERO!!!"
"INTRO2-1_AXL","¡Hey Alia! ¡Aquí Axl! ¡Estoy justo cerca del lugar del accidente por el Elevador Orbital!"
"INTRO2-2_AXL","Ugh, es un desastre total por aquí, ¡Mavericks por todos lados!"
"INTRO2-3_AXL","¡Voy en camino! ¡Haz que esos mecanilodes de rescate esten listos para salir apenas dé el aviso!"
"INTRO2-4_AXL","¡Entendido, Axl! ¡Ten cuidado!"
"INTRO2-5_AXL","¡¿S-Sigma?! ¿Pero... cómo?"
"INTRO2-6_AXL","Para protegernos del daño durante el accidente..."
"INTRO2-7_AXL","Tuvimos que copiar un cuerpo resistente como el de Sigma."
"INTRO2-8_AXL","Nosotros, los Reploides de Nueva Generación, disfrutamos de una inmunidad completa y total a todos los virus."
"INTRO2-9_AXL","Así que incluso copiar algo tan peligroso como Sigma no conlleva riesgo."
"INTRO2-10_AXL","Espera, ¿Quién eres?"
"INTRO2-11_AXL","Me llamo Lumine."
"INTRO2-12_AXL","Soy el director a cargo del elevador y del Proyecto Jakob."
"INTRO2-13_AXL","Entendido. Dame un momento, enviaré una señal a mi equipo para que envíen el rescate-"
"INTRO3-1_AXL","Vaya, vaya... ¿A quién tenemos aquí? ¿Un pequeño novato?"
"INTRO3-2_AXL","¿Qué diablos? ¿Quién eres tú?"
"INTRO3-3_AXL","Soy Vile. Diría que es un placer conocerte, pero eso sería una mentira."
"INTRO3-4_AXL","¿Donde está tu pequeño compañero X?"
"INTRO3-5_AXL","¿X? ¿Y qué tiene que ver contigo?"
"INTRO3-6_AXL","¡Ja ja ja! No mucho... Solo busco saldar unas cuentas pendientes."
"INTRO3-7_AXL","¡No vas a saldar nada! ¡Deja a Lumine ir!"
"INTRO3-8_AXL","De ninguna manera. El Elevador Orbital está bajo nuestro control ahora..."
"INTRO3-9_AXL","¿¡Qué es lo que planeas hacer!?"
"INTRO3-10_AXL","Empieza ahora, chico... ¡Un nuevo mundo nacera!"
"INTRO3-11_AXL","¡Ja ja ja ja ja ja ja ja!"
"ANTONION1_AXL","Antonion... Solías ser un genio tan brillante. ¿Te has vuelto loco? ¿Que tramas?"
"ANTONION2_AXL","¿Loco? Ja ja. Eso es gracioso."
"ANTONION3_AXL","¿Dices que estas perfectamente cuerdo? ¿Estas siquiera seguro de que estás del lado correcto?"
"ANTONION4_AXL","Estoy bastante seguro. No es tan difícil diferenciar el bien del mal. Al menos de eso estoy seguro."
"ANTONION5_AXL","¡Já! ¡No podría estar más de acuerdo!"
"ANTONION6_AXL","El problema aquí es el mundo en el que vivimos. ¡Pero planeo arreglar todo eso!"
"MANOWAR1_AXL","¿Qué sucede aquí, Man-o-War?"
"MANOWAR2_AXL","Si no devuelves la energía a la normalidad, la gente de la Ciudad de Abel sufrirá."
"MANOWAR3_AXL","... ... ..."
"MANOWAR4_AXL","Se ha vuelto tan Maverick que ni siquiera puede hablar..."
"MANOWAR5_AXL","¿Qué? ¿Qué es un Maverick? ¿Tú sabes qué es lo qué es?"
"MANOWAR6_AXL","¿Maverick? Eso es un Reploide fuera de control como tú."
"MANOWAR7_AXL","Tendré que acabar contigo."
"MANTIS1_AXL","Escuché que eres un prototipo de los Reploides de Nueva Generación como nosotros."
"MANTIS2_AXL","Entonces ¿Por qué te convertiste en un Cazador de Mavericks?"
"MANTIS3_AXL","Porque me encanta barrer el piso con Mavericks malvados como tú, Mantis."
"MANTIS4_AXL","Hmph. ¿Cómo te atreves a acusarme de ser algo que no puedo ser?"
"MANTIS5_AXL","No hay tal cosa como el bien o el mal. Aún no te has dado cuenta de ello, ¿cierto?"
"MANTIS6_AXL","Puede que sea un prototipo, ¡Pero no asumas que me parezco siquiera un poco a ustedes malditos Mavericks!"
"MANTIS7_AXL","Eres terriblemente inocente para ser un prototipo de nosotros los nuevos Reploides."
"MANTIS8_AXL","Admitiré que estoy un poco celoso."
"MANTIS9_AXL","¿Qué tal si te lo demuestro con mis Cuchillas?"
"PANDA1_AXL","Tienes la misma habilidad de copia que disfrutamos los Reploides de Nueva Generación."
"PANDA2_AXL","..."
"PANDA3_AXL","¿Has pensado alguna vez que ese poder podría cambiar el mundo?"
"PANDA4_AXL","¡Lo único en lo que pienso es en cómo me sirve para azotar a Mavericks como ustedes!"
"PANDA5_AXL","Vaya petulancia. Supongo que no nos serás de utilidad después de todo."
"ROOSTER1_AXL","¿Sabes dónde estás, compadre?"
"ROOSTER2_AXL","Me llamo Axl, y no soy para nada tu compadre."
"ROOSTER3_AXL","En fin, este es el centro de eliminación de residuos..."
"ROOSTER4_AXL","Es mucho más que eso."
"ROOSTER5_AXL","Es el cementerio de todos los Reploides acusados de ser Mavericks."
"ROOSTER6_AXL","Ah, ¿Así que pensaste en hacer una revuelta para vengarte?"
"ROOSTER7_AXL","Eso es algo que un Maverick haría."
"ROOSTER8_AXL","¿Es esto a lo que te refieres cuando hablas de justicia? ¡Eres tú quién debería ser hecho chatarra!"
"ROOSTER9_AXL","¡No hay lugar para Reploides y viejas generaciones como ustedes en el nuevo mundo que crearemos!"
"SUNFLOWER1_AXL","Axl... El cambia-formas. El prototipo de los Reploides que liderarán la nueva era..."
"SUNFLOWER2_AXL","¿Y qué? ¿Acaso dices que debería unirme a ustedes? ¡Ni en tus sueños, idiota!"
"SUNFLOWER3_AXL","Si tan solo fueses un poco más inteligente, podrías haber sido escogido también..."
"SUNFLOWER4_AXL","Ahí está tu error. Puede que no seamos los tipos buenos, pero no somos monstruos."
"SUNFLOWER5_AXL","Tales conceptos están más allá del alcance de ignorantes como tú."
"SUNFLOWER6_AXL","Este tipo está fuera de control, mejor acabo con él antes de que siga con sus estupideces."
"TRILOBYTE1_AXL","Los minerales que minamos aquí son esenciales para el desarrollo en el espacio."
"TRILOBYTE2_AXL","Supongo que un prototipo a medias como tú no podría adivinar a que quiero llegar."
"TRILOBYTE3_AXL","Ustedes los Mavericks jamás han hecho una pizca de sentido para mi."
"TRILOBYTE4_AXL","Yo he sido elegido y tú has sido abandonado. ¡Nunca serás tan brillante como yo!"
"TRILOBYTE5_AXL","Eres tú el que hace poco uso de razón, Trilobyte. ¡Siendo engañado y usado por Sigma!"
"TRILOBYTE6_AXL","¡Nuestro nuevo mundo pronto nacerá! Idiotas del antiguo mundo como tú, ¡caerán!"
"YETI1_AXL","¿Así que tú eres el prototipo que puede cambiar de forma?"
"YETI2_AXL","Si nos convertimos en Maverick así de fácil, no puedo decir que este contento de ser tu prototipo."
"YETI3_AXL","Palabras fuertes para alguien tan vil como un Cazador de Mavericks."
"YETI4_AXL","¿A quién llamas vil? ¡Tú eres el que intenta destruir el mundo, no yo!"
"VILE1-1_AXL","¡Ja ja ja ja ja!"
"VILE1-2_AXL","¿Por qué no simplemente te rindes ahora y acabas con esto?"
"VILE1-3_AXL","¿El mundo como lo conoces? ¿Mavericks? ¡Despídete de todo eso!"
"VILE1-4_AXL","¡Caos, perdición y destrucción! ¡Para eso nos crearon!"
"VILE1-5_AXL","Hmph, como sea, no creas que evitaras que te dé una paliza solo porque dijiste eso."
"VILE2-1_AXL","Vile, ¿cierto?"
"VILE2-2_AXL","¿Qué es lo que tramas?"
"VILE2-3_AXL","¿Qué planeas hacer con Lumine y el Elevador?"
"VILE2-4_AXL","No te preocupes por Lumine. A diferencia de ti, el tiene algo de importancia en nuestro plan."
"VILE2-5_AXL","No me importa si alguna vez fuiste un Cazador de Clase A."
"VILE2-6_AXL","¡Ahora eres un Maverick, y sé la manera exacta de lidiar con basura como tú!"
"VILE2-7_AXL","¡Ja ja! ¿Te hice enojar? ¡Adelante!"
"VILE3-1_AXL","¡Já! ¿Sigues preocupado por la justicia aún cuando el mundo está al borde de la destrucción?"
"VILE3-2_AXL","¡Por supuesto, amigo mio!"
"VILE3-3_AXL","¡Pensé que podría repartirte un poco de justicia antes de ir tras Sigma!"
"VILE3-4_AXL","El Elevador Orbital... la energía... los minerales espaciales... los datos de cohetes..."
"VILE3-5_AXL","La ruta al espacio..."
"VILE3-6_AXL","Aquello que le ha permitido a este mundo sobrevivir todo este tiempo - ¡Es nuestro!"
"VILE3-7_AXL","En momento como este, ¿Qué tan importante es tu preciado término \""Maverick\""?"
"VILE3-8_AXL","¡Te lo diré tan pronto como termine en convertirte en una pila de chatarra!"
"VILE4-1_AXL","Así que, aún te rehúsas a rendirte con tu lucha ¿eh?"
"VILE4-2_AXL","¿Estas tan ciego que de alguna manera te convenciste de que aún hay esperanza?"
"VILE4-3_AXL","Si todo lo que tengo que hacer es vencerte, entonces estoy lleno de esperanza, imbecil."
"VILE4-4_AXL","Si me rindo ahora, todos mis esfuerzos serán en vano. ¡Me niego a rendirme!"
"VILE4-5_AXL","Ja ja ja... Supongo que sería un desperdicio simplemente destruirte ahora..."
"COPYSIGMA1_AXL","¿¡Sigma!?"
"COPYSIGMA2_AXL","¿Creíste que podías mantenernos a raya huyendo y escondiendote en el espacio como un cobarde?"
"COPYSIGMA3_AXL","¿Huir? ¿Esconderme? Te equivocas."
"COPYSIGMA4_AXL","Simplemente elegimos dejar a ese planeta ignorante atrás."
"COPYSIGMA5_AXL","Como digas. De todas maneras, ¡Te destruiré ahora!"
"COPYSIGMA6_AXL","¿Cual de nosotros será \""destruido\""? Veamos... No eres uno de los elegidos."
"COPYSIGMA7_AXL","¡Solo nosotros los Reploides de Nueva Generación vivirán en este nuevo mundo! ¡No tengo utilidad para prototipos endebles!"
"SIGMA1_AXL","Hmph. Así que tu debes ser aquel al que llaman Axl.."
"SIGMA2_AXL","El Prototipo de los Reploides de Nueva Generación."
"SIGMA3_AXL","Estoy sorprendido de que hayas llegado tan lejos."
"SIGMA4_AXL","Hey... Paren de llamarme prototipo..."
"SIGMA5_AXL","Yo soy yo. Y tú... ¡Tú eres un Maverick!"
"SIGMA6_AXL","¡Eres un prototipo insignificante y débil! ¡Nada más!"
"SIGMA7_AXL","Tu habilidad de copia está lejos de ser desarrollada. Por eso fuiste dejado atrás."
"SIGMA8_AXL","¡Los Mavericks son un club del cual preferiría no formar parte!"
"SIGMA9_AXL","¡Solo los Reploides de Nueva Generación puros, mis hijos, son dignos!"
"SIGMA10_AXL","¿Tus hijos?"
"SIGMA11_AXL","Si, prototipo... Mis hijos..."
"SIGMA12_AXL","Todos los Reploides de Nueva Generación nacidos del Proyecto Jakob portan chips de copia conteniendo mis datos personales."
"SIGMA13_AXL","Y ahora, ¡Comienza la fase final de ese proyecto!"
"SIGMA14_AXL","¡¡¡Tú serás destruido!!!"
"FINALLUMINE1_AXL","Ah, Lumine. ¿Estás bien?"
"FINALLUMINE2_AXL","¿Que si estoy bien...? Por supuesto."
"FINALLUMINE3_AXL","Supongo que estás satisfecho ahora que has derrotado a Sigma."
"FINALLUMINE4_AXL","Gracias a ti, el plan ha ido bien."
"FINALLUMINE5_AXL","Pero Lumine, ¿No estabas simplemente siendo usado por Sigma?"
"FINALLUMINE6_AXL","¿Usado? No lo creo."
"FINALLUMINE7_AXL","Verás, él simplemente facilitó mi plan."
"FINALLUMINE8_AXL","¡Los Reploides de Nueva Generación han sido despertados y el nuevo mundo nacerá!"
"FINALLUMINE9_AXL","¡Lumine! ¿Qué estás haciendo? No me digas que también te has vuelto Maverick..."
"FINALLUMINE10_AXL","¿Maverick? Tú no crees que realmente sea así ¿cierto?"
"FINALLUMINE11_AXL",".........!"
"FINALLUMINE12_AXL","Los chips de copia que poseemos los Reploides de Nueva Generación..."
"FINALLUMINE13_AXL","Fueron fabricados a partir de datos de cientos de modelos antiguos de Reploides."
"FINALLUMINE14_AXL","Eso significa, por supuesto, que Sigma también fue incluido en la mezcla."
"FINALLUMINE15_AXL","¿Entiendes a lo que voy?"
"FINALLUMINE16_AXL","¿Chip de copia? ¿Sigma? ¿Eso significa que me volveré loco igual que él?"
"FINALLUMINE17_AXL","Lo lamento, pero prototipos como tú no tienen las especificaciones para provocar algo como eso."
"FINALLUMINE18_AXL","Además, ¿Sigma estaba realmente loco?"
"FINALLUMINE19_AXL",".........?"
"FINALLUMINE20_AXL","El se rebeló ante tu mundo. Pero el tenía sus razones..."
"FINALLUMINE21_AXL","El resto de nosotros Reploides de Nueva Generación podríamos volvernos así en cualquier momento..."
"FINALLUMINE22_AXL","La decisión de librar una batalla contra el viejo mundo fue hecha a conciencia."
"FINALLUMINE23_AXL","En otras palabras, ¡Tenemos el poder de convertirnos en Mavericks a voluntad!"
"FINALLUMINE24_AXL","Axl... ¿Crees que eres capaz de detenernos?"
"FINALLUMINE25_AXL","Ustedes son unas meras herramientas de los humanos... herramientas del viejo mundo."
"FINALLUMINE26_AXL","¿Crees que puedes enfrentarte a nosotros con tu arma? ¿A aquellos que han evolucionado así de lejos?"
"FINALLUMINE27_AXL","¡Ja ja ja ja ja ja! ¡No intentes hacer el ridículo!"
"FINALLUMINE28_AXL","El mundo está cambiando. Por lo tanto, ¡Es simplemente natural que la evolución siga su curso!"
"FINALLUMINE29_AXL","Ahora, ¡Peparate para ser exterminado!"
"FINALLUMINE30_AXL","No permitiré que vengas así nada más y me digas qué soy o qué debería ser."
"FINALLUMINE31_AXL","¡Tú eres el enemigo aquí y yo no permitiré que salgas de aquí con vida!"
"FINALLUMINE32_AXL","Enemigo... aliado... Este asunto no es tan blanco y negro. Reploides, junto con la humanidad, han cambiado irrevocablemente."
"FINALLUMINE33_AXL","La naturaleza de su existencia también ha cambiado. ¡Tú no eres necesario en nuestro nuevo mundo!"
"ENDING1-1_AXL","Inconcebible..."
"ENDING1-2_AXL","Puede que me hayas derrotado... Pero es demasiado tarde para detener lo que ya ha comenzado..."
"ENDING1-3_AXL","Me enfrentaré a muchos más que tú, si eso es lo que hace falta."
"ENDING1-4_AXL","Ja ja ja... Realmente no tienes ni idea de la situación en la que te encuentras ¿cierto?"
"ENDING1-5_AXL","Oh bueno... Lo descubrirás pronto..."
"ENDING1-6_AXL","....."
"ENDING1-7_AXL","¡Agh! Ya no aguanto más este dolor... Solo... Hazlo rápido..."
"ENDING2-1_AXL","Aquí Axl..."
"ENDING2-2_AXL","Axl... Axl... ¡Informe de la misión!"
"ENDING2-3_AXL","La misión... fue exitosa."
"ENDING2-4_AXL","El enemigo... Ha sido eliminado. Voy en camino de vuelta..."
"ENDING2-5_AXL","Entendido..."
"SECRET2-1_AXL","Bienvenido, Axl. He estado esperandote."
"SECRET2-2_AXL","Oh, así que ya sabes quién soy ¿eh?"
"SECRET2-3_AXL","Debo decir, eres mucho más... \""tranquilo\"" que cualquier otro al que haya visto. ¿Qué sucede contigo?"
"SECRET2-4_AXL","Qué observador para notarlo tan rápido."
"SECRET2-5_AXL","Yo soy Serenade."
