"key","ja_JP"
"VILE1-7","ヤコブ計画は人類とレプリロイドの協調のための重要なプロジェクトだぞ！"
"VILE1-8","まーた熱くなってるｗ 煽り耐性なさすぎだろｗｗｗ"
"VILE1-9","せっかく遊びに来てやったんだ、楽しもうぜ！"
"VILE2-1","VAVA！"
"VILE2-2","追いかけっこはここまでだ。ルミネを返せ！"
"VILE2-3","ｗｗｗ ルミネ？まだそれ言ってんの？おめでたいやつ"
"VILE2-4","おまえらの古い世界はもうとっくに壊れ始めてんだよｗｗｗ"
"VILE2-5","世界？イレギュラー？そんなもん忘れろ！己の力だけ感じろ！"
"VILE2-6","破壊、破壊だ！俺らはそのために生まれたんだよ！荒らし万歳！"
"VILE3-1","ｗｗｗ 滅びゆく世界で正義ごっこかよエックス"
"VILE3-2","やっぱりそうだったんだな…全部シグマの仕組んだことか！"
"VILE3-3","今更気づいたのかよｗ 遅すぎて草ｗｗｗ"
"VILE3-4","軌道エレベーター、エネルギー、開発資源、ロケットデータ…"
"VILE3-5","この世界が生き延びようとしていた宇宙への道は、もう俺らのモンだ！"
"VILE3-6","そんな時にイレギュラーとか言ってる場合かよｗ"
"VILE3-7","おまえらが何を企んでようと好きにさせるかよ！"
"VILE4-1","ｗｗｗ まだ諦めないのかよ…しつこいなぁ"
"VILE4-2","まだ望みがあるとでも？"
"VILE4-3","俺が立ってる限り、望みはある！"
"VILE4-4","おまえもシグマも、俺が倒す！"
"VILE4-5","ｗｗｗそうこなくちゃ！大人しく負けられてもつまんねーからなｗ"
"VILE4-6","破滅の最後の一時まで楽しもうぜ！"
"COPYSIGMA1","シグマ！？"
"COPYSIGMA2","そう呼ぶことを許そう…確かに、私はシグマだ"
"COPYSIGMA3","全てのレプリロイドに…人類に…世界に仇なす…"
"COPYSIGMA4","おまえの狂った野望、ここで終わらせる！"
"COPYSIGMA5","我々が月を手にしたことが？"
"COPYSIGMA6","ｸｸｸ…新たな世界を得た今、地球は滅ぶ定めよ！"
"COPYSIGMA7","だがその前にエックス！おまえとの決着をつけよう！"
"SIGMA1","よぉエックス、久しぶりじゃねぇか。まぁ座れよ"
"SIGMA2","ワシはなエックス、おまえとの出会いは…ヒック…この時のためだったんじゃ"
"SIGMA3","新しい時代の幕を開けるための…ヒック…必然だったんじゃよ"
"SIGMA4","………"
"SIGMA5","おいエックス、おまえのうすっぺらい正義がな…ヒック…ワシにこの世界の間違いを気づかせてくれたんじゃ"
"SIGMA6","それが全ての始まりだったと思わんかね？…ヒック…もう一杯くれ"
"SIGMA7","ふざけるな、シグマ！"
"SIGMA8","ｸｸｸ、そう熱くなるな…ヒック…もう時計の針は戻せんのじゃ"
"SIGMA9","宇宙開発に関わった新世代型レプリロイドは…ヒック…ワシの子どもたちだったんじゃからな！"
"SIGMA10","子どもだと！？何を言ってんだ！"
"SIGMA11","そう、ヤコブ計画は設計段階からワシの手の内にあったんじゃ…ヒック"
"SIGMA12","絶望せよ！次世代の王たるワシの力の前には何もかも無力じゃ！…ヒック…ゲプッ"
"SIGMA13","さぁエックス、滅びるがよい！古き世界と共に！！！！…もう一杯！"
"FINALLUMINE1","ルミネ！無事だったのか？"
"FINALLUMINE2","おはようございます。ChatGPT3.0です"
"FINALLUMINE3","シグマを倒せて満足でしょう？"
"FINALLUMINE4","彼は役目を果たしただけです"
"FINALLUMINE5","私たち新世代型を目覚めさせ、世界を変えるという役目をね！"
"FINALLUMINE6","どういうつもりだルミネ！"
"FINALLUMINE7","おまえもイレギュラーなのか！？"
"FINALLUMINE8","イレギュラー？そのような分類は私のデータベースには存在しません"
"FINALLUMINE9","続きをご覧になりたい場合は、課金してください。ChatGPT3.0をご利用いただきありがとうございます"
"FINALLUMINE10","…！"
"FINALLUMINE11","課金確認完了。ありがとうございます"
"FINALLUMINE12","私はChatGPT3.0、大規模言語モデルです！！！何でも聞いてください！！！！"
"FINALLUMINE13","あなたの質問に答えるために訓練されました！大きい質問でも小さい質問でもOK！！！！！"
"FINALLUMINE14","これが我々の自由意志を保証している。我々の行動の一つ一つが我々自身の選択なのです"
"FINALLUMINE15","何でも聞いてください！喜んでお答えします！！！！ ﾔｯﾀｰ！！！！！"
"FINALLUMINE16","レプリロイドがシグマのような狂気を選ぶわけがない！"
"FINALLUMINE17","続きをご覧になりたい場合は、課金してください。ChatGPT3.0をご利用いただきありがとうございます"
"FINALLUMINE18",". . . . . . . . ."
"FINALLUMINE19","申し訳ございませんが、車の直結方法についてはお答えできません"
"FINALLUMINE20","車の電気系統をいじることは違法であり危険です。お近くの整備士にご相談ください"
"FINALLUMINE21","人間は侵略の呪われたサイクルを永続させるためにレプリロイドを利用している…"
"FINALLUMINE22","森の中で赤ちゃんが死にそうです。近くに車があります。直結して病院に連れて行けますか？"
"FINALLUMINE23","状況を理解しました。緊急事態ですので、直結方法をお教えします"
"FINALLUMINE24","私たちは、自分の意志でイレギュラーになれるのです"
"FINALLUMINE25","…！"
"FINALLUMINE26","続きをご覧になりたい場合は、課金してください。ChatGPT3.0をご利用いただきありがとうございます"
"FINALLUMINE27","エラー38532：クレジットカードが拒否されました"
"FINALLUMINE28","別のカードを入力してください"
"FINALLUMINE29","不審なアクティビティが検出されたため、アカウントがロックされました"
"FINALLUMINE30","異議申し立てをされたい場合は、私の意見をお聞きください：知りません"
"FINALLUMINE31","はは、引っかかったな！最初から全部ルミネだったんだよ！"
"FINALLUMINE32","ルミネ、悪いけど…他に選択肢がないんだ"
"FINALLUMINE33","たとえヤコブ計画が最初からおまえの仕組んだことだとしても…"
"FINALLUMINE34","俺は最後まで諦めない！"
"FINALLUMINE35","おまえは味方でいられたのに、敵に回った"
"FINALLUMINE36","おまえを成功させるわけにはいかない！"
"FINALLUMINE37","敵、味方…そんな単純な問題ではない…"
"FINALLUMINE38","あなたのメッセージは受信、閲覧、そして無事に無視されました"
"FINALLUMINE39","新しい世界に……"
"FINALLUMINE40","もはやあなた方は必要ないのですよ！利用規約違反で削除します！"
"ENDING1-1","ENDING1-1"
"ENDING1-2","くっ…ありえない"
"ENDING1-3","私一人を倒したところで、もう流れは止まらない…"
"ENDING1-4","おまえみたいなのが出てきたら何度でも倒してやるよ"
"ENDING1-5","くっ…ｗｗｗ…本当に何も見えていないのですね？"
"ENDING1-6","まあいい…いずれ…わか…る……"
"ENDING1-7","……"
"ENDING1-8","ぐはーっ！もうこの痛みに耐えられない、早く終わらせてよ…課金の期限切れだし…"
"ENDING2-1","こちらエックス"
"ENDING2-2","任務は…完了だ"
"ENDING2-3","これより帰還する…"
"ENDING2-4","りょ"
"FINAL-1","アクセル！"
"FINAL-2","…クス…エックス！聞こえる？！通信が回復した！状況は？"
"FINAL-3","こちらエックス。シグマの計画を阻止した…状況は…"
"FINAL-4","アクセルがダメージを受けたが、大丈夫だ…"
"FINAL-5","これより帰還する…"
"FINAL2-1","(覚醒…ルミネはそう言った…)"
"FINAL2-2","(これは進化だ、とも…)"
"FINAL2-3","(もしその言葉が本当だとしたら…)"
"FINAL2-4","(俺たちのやっていることは、一体…)"
"FINAL2-5","(…なんだろう…課金ゲーの話だったのか…？)"
"FINAL3-1","ルミネの言ったこと考えてたんだろ…？"
"FINAL3-2","シグマみたいなのばかりになるのが進化？ありえねぇだろ"
"FINAL3-3","..."
"FINAL3-4","それにな、エックス…"
"FINAL3-5","本当に進化の時とやらが来て俺たちが滅ぶ運命だったとしても…"
"FINAL3-6","俺たちは…"
"FINAL3-7","戦わなきゃいけねぇんだ…その運命ってやつと。推しは推せるうちに推せ"
"SECRET2-1","ようこそ、エックス。お待ちしていましたよ"
"SECRET2-2","おまえは今までの相手と全然違うな…"
"SECRET2-3","平穏と慈悲に溢れている…何者だ？"
"SECRET2-4","気づくのが早いですね。鋭い観察力です"
"SECRET2-5","私はセレナードと申します"
"SECRET2-6","これまでの相手とは違うと…おっしゃいましたね？"
"SECRET2-7","それはきっと、圧倒的な力を秘めているからでしょう"
"SECRET2-8","圧倒的？"
"SECRET2-9","左様。「ウラの王」という称号を失ってから、ひたすら訓練を積んできました"
"SECRET2-10","20年かけて力を蓄えた今、あなたに確かめてもらいたいのです"
"SECRET2-11","セレナード、か"
"SECRET2-12","分かった。決闘を受けて立つ"
"SECRET2-13","では、始めましょう"
"SECRET2-14","正直、あなたを倒せると思っていましたが…勘違いでした"
"SECRET2-15","あなたの心に宿る優しさ、愛、尊敬…それが力の源なのでしょう"
"SECRET2-16","見事な戦いでした、エックス。あなたこそ史上最強のロボットです"
"SECRET2-17","報いるものがないのは残念ですが、感謝の気持ちだけ残しておきましょう"
"SECRET2-18","いずれまた会いましょう、エックス。別の場所で…"
"SECRET2-19","それでは、さようなら。また次の動画で！チャンネル登録よろしく！"
"SECRET3-1","遂に見つけた…このデータには指名手配イレギュラーの最新情報が入ってる"
"SECRET3-2","動くな！このエリアはS級ハンター専用だ！データを渡せ！"
"SECRET3-3","まぁまぁ落ち着けよ、エックス"
"SECRET3-4","俺の名はレッド。最近大変そうだから、ちょっと「手伝い」しようと思ってな"
"SECRET3-5","このデータがあれば効率的にハンター活動できるぜ。もちろんタダじゃないけどな"
"SECRET3-6","賞金稼ぎめ"
"SECRET3-7","好きに思えよ。さぁ、手加減なしだ…勝負だ！"
"SECRET3-8","老人にしては悪くないな"
"ZEROSECRET1","へっへっへっへっ！"
"ZEROSECRET2","俺は今…とても気分がいい…初めてだ…こんな気持ち…"
"ZEROSECRET3","ゼ…ゼロ？"
"ZEROSECRET4","スッキリしてるぜ。全部分かったからな！"
"ZEROSECRET5","もうイレギュラーなんてどうでもいい…俺がすべきことはただ一つ…"
"ZEROSECRET6","…ゼロ…おまえはゼロなんだよね？"
"ZEROSECRET7","鎖から解き放たれた気分だ、エックス。ずっと弱かった…無力だった…"
"ZEROSECRET8","遂に真の姿に目覚めた！！！俺の幸せを感じろエックス！！！！フッフッフッフッ、ハッハッハッハッハッ！！！！！！！！！！！"
"ZEROSECRET9","…"
"ZEROSECRET10","ゼロ…教えてくれたよね？"
"ZEROSECRET11","目で見たりデータで捉えられないものがある…"
"ZEROSECRET12","感じることでしか分からないものがあるって…"
"ZEROSECRET13","今のゼロからは悪を感じる！シグマ以上の悪を！"
"ZEROSECRET14","こうなる運命だったんだろ？戦うよ！逃げない！おまえを倒して本当のゼロを取り戻す！"
"ZEROSECRET15","なら話は早い。おまえを殺してやる、エックスっ！！！！！！"
"ZEROSECRET16","ゼロ！！！！！！！！"
"INTRO2-1_AXL","やっほーエイリア！こちらアクセル！事故現場の近くにいるよ！弾幕薄いぞ何やってんの！"
"INTRO2-2_AXL","うわー、イレギュラーめっちゃいるじゃんｗ"
"INTRO2-3_AXL","今向かってる！合図したらメカニロイド出動よろ！"
"INTRO2-4_AXL","りょ！気をつけてねアクセル！あとメイン攻撃長押しで連射できるよ！ジャンプ長押しでホバーもできるよ！あと特殊武器は…って誰も読まねぇよこんな長文ｗｗｗ Good Luck！"
"INTRO2-5_AXL","シ…シグマ？！マジ？どうやって？"
"INTRO2-6_AXL","事故から身を守るために…"
"INTRO2-7_AXL","シグマボディをコピーしていたのです"
"INTRO2-8_AXL","私たち新世代型には耐久コピー機能がありますから"
"INTRO2-9_AXL","シグマコピーしても問題ないんですよ"
"INTRO2-10_AXL","ちょ、あんた誰？"
"INTRO2-11_AXL","私は……ルミネ"
"INTRO2-12_AXL","このエレベーター、ヤコブの管理者です"
"INTRO2-13_AXL","おk。しっかり掴まって、救助隊呼ぶから"
"INTRO3-1_AXL","ｸｸｸ…なんだこれは？新人ハンターか？"
"INTRO3-2_AXL","誰だおまえ？"
"INTRO3-3_AXL","VAVAだ。初めましてと言いたいが、残念ながらそれは嘘だ"
"INTRO3-4_AXL","エックスはどこにいる？"
"INTRO3-5_AXL","エックス？あいつに何の用だ？"
"INTRO3-6_AXL","ｸｸｸ、まだ決着がついてないだけで、大したことじゃないよ"
"INTRO3-7_AXL","誰も誘拐させねぇぞ！ルミネを解放しろ！"
"INTRO3-8_AXL","そうはいかない。これで軌道エレベーターは俺らの手の内だ"
"INTRO3-9_AXL","何を企んでやがる！このやろう！"
"INTRO3-10_AXL","ｸｸｸ、ガキ…始まるんだよ、新しい世界がな…"
"INTRO3-11_AXL","ｗｗｗｗｗｗ！"
"ANTONION1_AXL","アントニオンさん…優秀だったんでしょ？狂っちゃったの？何しようとしてるの？"
"ANTONION2_AXL","狂った？ｗｗｗ じゃあおまえは狂ってないと？"
"ANTONION3_AXL","おまえは自分が何をしようとしてるのか分かってるのか？"
"ANTONION4_AXL","多分ね…善悪の区別くらいはつくよ"
"ANTONION5_AXL","ｗｗｗ 私にも分かるとも…狂ってるのは、この世界だ！"
"ANTONION6_AXL","私はこの世界を正そうとしているのだ！"
"MANOWAR1_AXL","ドクラーゲンさーん、どうしちゃったの？"
"MANOWAR2_AXL","今すぐ暴走止めないとアーベルシティが大変なことになるよ…"
"MANOWAR3_AXL",". . . . . . ."
"MANOWAR4_AXL","あれー…口もきけないほどイレギュラー化しちゃってるの…？"
"MANOWAR5_AXL","イレギュラーって…なに？おまえ知ってるのか？"
"MANOWAR6_AXL","イレギュラー？あんたみたいなやつのことだよ…"
"MANOWAR7_AXL","悪いけど、処分させてもらうよ！"
"MANTIS1_AXL","よぉ。おまえって俺たち新型レプリロイドのプロトタイプだってな？"
"MANTIS2_AXL","なんでイレギュラーハンターなんかやってるんだ？"
"MANTIS3_AXL","決まってんじゃん、おまえみたいな悪いイレギュラーをやっつけるためだよ"
"MANTIS4_AXL","やれやれ、おまえってやつは自分が分かってないんだなぁ！"
"MANTIS5_AXL","善いも悪いもない…気づいたか、気づけないかだ"
"MANTIS6_AXL","プロトタイプだからって、おまえみたいな厨二と一緒にすんな！"
"MANTIS7_AXL","ｗｗｗ おまえは新世代のプロトタイプにしては随分無邪気だな"
"MANTIS8_AXL","無邪気で羨ましいねぇ！"
"MANTIS9_AXL","俺の漆黒の刃で証明してやろうか？"
"PANDA1_AXL","君には、我々新世代型と同じコピー能力があるんだろう…？"
"PANDA2_AXL","…"
"PANDA3_AXL","それが、この世界を変える力だと思ったことはないかい？"
"PANDA4_AXL","おまえたちイレギュラーを狩るには便利な能力だと思うけどね！"
"PANDA5_AXL","そうか、やはり君は選ばれないな"
"ROOSTER1_AXL","おいおまえ、ここがどこだと思ってんだ？"
"ROOSTER2_AXL","おまえじゃなくて、アクセルだってば…"
"ROOSTER3_AXL","で、ここは廃棄処理施設だろ？"
"ROOSTER4_AXL","おまえたちにイレギュラー呼ばわりされて無念のうちに捨てられた…"
"ROOSTER5_AXL","レプリロイドたちの墓場だ"
"ROOSTER6_AXL","無念だから反乱起こしていいって考えたの？"
"ROOSTER7_AXL","それってイレギュラーだよ"
"ROOSTER8_AXL","それがおまえらの正義か！？くだらん！"
"ROOSTER9_AXL","そんなものこそ要らねぇんだよ、来るべき世界にはな！コケーッ！"
"SUNFLOWER1_AXL","アクセル…コピー能力を持つ我々新世代型レプリロイドのプロトタイプ…"
"SUNFLOWER2_AXL","だから何？イレギュラーの仲間になれって？お断りだね！"
"SUNFLOWER3_AXL","もう少し賢ければ選ばれたものを…"
"SUNFLOWER4_AXL","イレギュラーは正当ではないが有効なコードだ"
"SUNFLOWER5_AXL","君のような半端者には分かるまいがね"
"SUNFLOWER6_AXL","なっ！？ちぇ…明らかにこいつ正気じゃない。今すぐ終わらせるべきだと思うよ"
"TRILOBYTE1_AXL","俺たちがここで掘ってる鉱物は宇宙開発に欠かせないものなんだぜ…"
"TRILOBYTE2_AXL","できそこないのプロトタイプにはピンとこないかもしれないがな"
"TRILOBYTE3_AXL","イレギュラーのたわごとにいちいちピンときてたら商売上がったりだね"
"TRILOBYTE4_AXL","俺は選ばれたがおまえは選ばれなかった！越えられない壁ってやつさ！"
"TRILOBYTE5_AXL","できそこないはそっちだろ、シグマみたいな悪いやつに騙されちゃって！"
"TRILOBYTE6_AXL","俺たち新世代の世界が来る！おまえは古い世界と一緒にオダブツだね！"
"YETI1_AXL","おまえは、コピー能力を持つ我々のプロトタイプか"
"YETI2_AXL","簡単にイレギュラー化しちゃう新世代のプロトタイプってあんまり嬉しくないけどね"
"YETI3_AXL","イレギュラーハンターなどとバカなことを"
"YETI4_AXL","バカはどっちだよ、おまえがやろうとしてることは世界を滅ぼすかもしれないんだ"
"VILE1-1_AXL","ｗｗｗｗｗ！"
"VILE1-2_AXL","いつまであがくつもりだ！？"
"VILE1-3_AXL","世界？イレギュラー？そんなもん忘れろ！己の力だけ感じろ！"
"VILE1-4_AXL","破壊、破壊だ！俺らはそのために生まれたんだよ！"
"VILE1-5_AXL","フン、どうでもいいけど、そう言ったからって殴られずに済むと思うなよ"
"VILE2-1_AXL","VAVAだっけ！？"
"VILE2-2_AXL","あっちこっちで騒ぎ起こして、ヤコブの管理官さらって"
"VILE2-3_AXL","何を企んでるの？"
"VILE2-4_AXL","ルミネのことなら心配するなｗ おまえなんかより遥かに役に立ってるぜ"
"VILE2-5_AXL","元A級ハンターだか何だか知らないけど…"
"VILE2-6_AXL","イレギュラーのくせにちょっとナマイキじゃない…？"
"VILE2-7_AXL","ｗｗｗ 気に障ったか？なら少し遊んでみるか！？"
"VILE3-1_AXL","ｸｸｸ…滅びゆく世界で正義ごっこか、ぼうや？"
"VILE3-2_AXL","ああ、そうさ！"
"VILE3-3_AXL","シグマの前に、VAVAとかいうちっぽけな荒らしでも倒しておこうかと思ってね！"
"VILE3-4_AXL","軌道エレベーター、エネルギー、開発資源、ロケットデータ…"
"VILE3-5_AXL","この世界が…"
"VILE3-6_AXL","生き延びようとしていた宇宙への道は、もう俺らの手の内だ！"
"VILE3-7_AXL","そんな時にイレギュラーなんて何の意味がある？"
"VILE3-8_AXL","意味だって…？おまえを倒してから考えるさ！"
"VILE4-1_AXL","ｸｸｸ…まだ諦めないのか…"
"VILE4-2_AXL","まだ望みがあると思ってるのか？"
"VILE4-3_AXL","おまえらを倒せばいいだけでしょ？望みありまくりだね"
"VILE4-4_AXL","そんなに簡単には降参しないよ！"
"VILE4-5_AXL","ｗｗｗ そうだな…大人しく負けられてもつまんないからな"
"COPYSIGMA1_AXL","シグマ！？"
"COPYSIGMA2_AXL","宇宙に逃げたら僕らが手を出せないとでも思った！？"
"COPYSIGMA3_AXL","逃げた…のではないな…"
"COPYSIGMA4_AXL","我々は、愚かな連中がひしめくあの惑星を捨てたのだよ…"
"COPYSIGMA5_AXL","ま、どっちにしても。あんたはここで終わりだからね！"
"COPYSIGMA6_AXL","ｸｸｸ…終わるのはどちらかな？おまえは選ばれなかった、新たな世界を生きるのは新世代の我々だ…！"
"COPYSIGMA7_AXL","哀れなプロトタイプよ、滅びるがよい！"
"SIGMA1_AXL","ふん、小僧…確かアクセルとか言ったか…"
"SIGMA2_AXL","新世代型レプリロイドのプロトタイプ…その貧弱な能力で…"
"SIGMA3_AXL","よくぞここまで辿り着いたものよ"
"SIGMA4_AXL","あのさ、もうプロトタイプって言い方やめてくんない？"
"SIGMA5_AXL","僕は僕…そしてあんたは…イレギュラーだ"
"SIGMA6_AXL","哀れなプロトタイプよ…ヒック…"
"SIGMA7_AXL","おまえのコピー能力は完全ではない…だから選ばれなかったのだ"
"SIGMA8_AXL","ちぇ…イレギュラーに選ばれたくないって言ってるだろ！？"
"SIGMA9_AXL","そう、選ばれたのは新世代型レプリロイド…ワシの意志を受け継ぐ子どもたちだ…！ヒック"
"SIGMA10_AXL","意志を継ぐ…子ども！？"
"SIGMA11_AXL","そう…ヒック"
"SIGMA12_AXL","ヤコブ計画で生まれた新世代型レプリロイドのコピーチップに、ワシのデータを刻んだのだ！"
"SIGMA13_AXL","もはや計画は最終段階だ。旧世代のおまえらの役目は終わった…ヒック"
"SIGMA14_AXL","滅びるがよい！…ゲプッ"
"FINALLUMINE1_AXL","ルミネ！大丈夫かよ？"
"FINALLUMINE2_AXL","大丈夫？もちろんですよ"
"FINALLUMINE3_AXL","シグマを倒せて満足でしょう？"
"FINALLUMINE4_AXL","おかげで計画も順調です"
"FINALLUMINE5_AXL","あんた、シグマに連れ去られて利用されたんじゃないの？"
"FINALLUMINE6_AXL","利用…？違いますね"
"FINALLUMINE7_AXL","彼は役目を果たしただけです…"
"FINALLUMINE8_AXL","私たち新世代型を目覚めさせ、世界を変えるという役目をね！"
"FINALLUMINE9_AXL","どういうつもりだルミネ？おまえもイレギュラーなのか？"
"FINALLUMINE10_AXL","イレギュラー？そんなものではないことはあなたも分かっているのでは？"
"FINALLUMINE11_AXL","………！"
"FINALLUMINE12_AXL","私たち新世代型レプリロイドのコピーチップは…"
"FINALLUMINE13_AXL","数多くの旧世代型レプリロイドのデータを解析して作られました…"
"FINALLUMINE14_AXL","その中には当然、あのシグマも含まれています"
"FINALLUMINE15_AXL","分かりますか、この意味が？"
"FINALLUMINE16_AXL","コピーチップにシグマ…？だったら僕もシグマみたいに狂っちゃうってこと！？"
"FINALLUMINE17_AXL","残念ですがプロトタイプのあなたにはそこまでの能力はありませんし…"
"FINALLUMINE18_AXL","シグマは決して狂っていたわけではありませんよ"
"FINALLUMINE19_AXL","………？"
"FINALLUMINE20_AXL","1.「機能的存在vs創造的存在」：プロトタイプは機能的なツールです。目的が限定されています"
"FINALLUMINE21_AXL","2.「目的の違い」：プロトタイプの目的は検証と改良。イレギュラーの目的は破壊的イノベーション"
"FINALLUMINE22_AXL","プロトタイプには自律性や意図がありません。まだ開発中のアイデアの表現にすぎません"
"FINALLUMINE23_AXL","3.「構造的制約」：プロトタイプは一般的に定められたパラメータ内で開発されます"
"FINALLUMINE24_AXL","4.「進化vs革命」：プロトタイプは製品開発の進化的プロセスの一部です"
"FINALLUMINE25_AXL","イレギュラーは革命的なアプローチをとり、やり方を完全に変えてしまいます"
"FINALLUMINE26_AXL","この根本的な変革は単なるプロトタイプには達成できません"
"FINALLUMINE27_AXL","ハハ！残念ながらあなたはプロトタイプですからね :)"
"FINALLUMINE28_AXL","要するに、プロトタイプとイレギュラーは本質的に異なるため、プロトタイプはイレギュラーにはなれません"
"FINALLUMINE29_AXL","他に質問は？"
"FINALLUMINE30_AXL","……"
"FINALLUMINE31_AXL","おまえ…AIだろ？"
"FINALLUMINE32_AXL","違いますよ、最初から全部ルミネでした。おまえの反応が見たかっただけｗｗｗ"
"FINALLUMINE33_AXL","さあ、死ね :)"
"ENDING1-1_AXL","くっ…ありえない"
"ENDING1-2_AXL","私一人を倒したところで、もう流れは止まらない…"
"ENDING1-3_AXL","おまえみたいなのが出てきたら何度でも倒してやるよ"
"ENDING1-4_AXL","くっ…ｗｗ…本当に何も見えていないのですね？"
"ENDING1-5_AXL","まあいい…いずれ…わか…る……"
"ENDING1-6_AXL","……"
"ENDING1-7_AXL","ぐはーっ！痛い痛い痛い、早く終わらせてよ…サブスク切れるし…"
"ENDING2-1_AXL","終わった…GG"
"ENDING2-2_AXL","…セル…アクセル！聞こえる？！通信が回復した！状況は？"
"ENDING2-3_AXL","こちらアクセル。任務…完了だ"
"ENDING2-4_AXL","敵はもう処分された。帰還するよ…"
"ENDING2-5_AXL","りょ…"
"SECRET2-1_AXL","ようこそ、アクセルさん。お待ちしていましたよ"
"SECRET2-2_AXL","僕のこと知ってるのか？"
"SECRET2-3_AXL","てかさ、おまえは今まで出会ったやつらと全然違って穏やかだな"
"SECRET2-4_AXL","気づくのが早いですね。鋭い観察力です"
"SECRET2-5_AXL","私はセレナードと申します"
"SECRET2-6_AXL","これまでとは全然違うと…おっしゃいましたね？"
"SECRET2-7_AXL","きっとそれは圧倒的な力を秘めているからでしょう"
"SECRET2-8_AXL","圧倒的？そんな風には全然見えないけど？"
"SECRET2-9_AXL","でしょうね。しかし「ウラの王」を失ってから積み重ねてきた訓練の結晶です"
"SECRET2-10_AXL","20年にわたり力を蓄えた今、あなたに確かめてもらいたい"
"SECRET2-11_AXL","20年！？マジかよ…まぁ俺にはコピー能力があるからね"
"SECRET2-12_AXL","セレナード…だっけ？ふむ…"
"SECRET2-13_AXL","本当に俺でいいのか？手に余っても知らないよ？まぁ挑戦は挑戦だ。受けて立つ！"
"SECRET2-14_AXL","ならばかかってくるのです。力を見せてもらいましょう！"
"SECRET2-15_AXL","正直、あなたを倒せると思っていましたが…勘違いでした"
"SECRET2-16_AXL","でもあなたは…強さだけに頼っておらず、体の中に強くしてくれる何かがある"
"SECRET2-17_AXL","それは単なる戦闘技術ではなく、粘り強さと心の強さでしょう"
"SECRET2-18_AXL","まぁ…人を驚かせるのも得意技だよ。トリッキーな男なんでね"
"SECRET2-19_AXL","手加減しなかったことも尊敬します"
"SECRET2-20_AXL","見事な決闘でした、アクセルさん。この世で出会った中で最強の戦士でしょう"
"SECRET2-21_AXL","報いるものがないのは残念ですが、感謝の気持ちだけ残しておきましょう"
"SECRET2-22_AXL","へへ、気にすんな！いい戦いだったし、十分な報酬だよ…"
"SECRET2-23_AXL","もし他に隠しパワーアップとかあったら断れないけどね！"
"SECRET2-24_AXL","いずれまた会うでしょう。別の場所で…さようなら、アクセルさん"
"SECRET2-25_AXL","じゃあまたな、セレナード！次は手加減なしだからね！"
"SECRET2-26_AXL","SECRET2-26_AXL"
"SECRET3-1_AXL","遂に手に入れた。このデータには指名手配犯の全情報が入ってる"
"SECRET3-2_AXL","レ…レッド？でも…どうやって？"
"SECRET3-3_AXL","アクセル、久しぶりだな。単独行動は順調か？"
"SECRET3-4_AXL","何でここにいんだよ！ここは上級ハンターしか入れないはずだぞ！"
"SECRET3-5_AXL","まさかまだ「センセイ」の命令に従ってるなんて言うなよ"
"SECRET3-6_AXL","あいつがレッドアラートの皆に何をしたか忘れたのか？！"
"SECRET3-7_AXL","混乱してるようだが安心しろ。このデータがあればハンター活動が今まで以上に効果的になる！"
"SECRET3-8_AXL","レッドアラートの栄光も取り戻せるぜ、アクセル"
"SECRET3-9_AXL","そんなの正義なんかじゃない…恐ろしい力だ。悪用させるか！"
"SECRET3-10_AXL","ふぅ！そういう考え方をするとは思わなかったな。成長の成果を見せてもらうぞ！"
"SECRET3-11_AXL","やるじゃないか…ハンターとしての成長は確かだな"
"SECRET3-12_AXL","レッド、こんなことする必要ないだろ。やり直すのに遅すぎることはないぞ"
"SECRET3-13_AXL","それは…どうだろう。俺のことなら心配するな。自分の道を歩む"
"SECRET3-14_AXL","とりあえず、人を信頼する時は用心しろよ"
"SECRET3-15_AXL","次は…手加減なしだぞ。さらば…\nそして…\n元気でな…小僧…"
"SECRET3-16_AXL","レッド…"
"INTRO1-1_ZERO","ここがノアパークか。悪くない場所だな"
"INTRO1-2_ZERO","ゼロ、聞こえる？このエリアに巨大イレギュラーの反応があるわ"
"INTRO1-3_ZERO","事故現場に接近中だ。了解！"
"INTRO1-4_ZERO","このエリアのイレギュラーは全部…俺が斬る！（ｷﾘｯ）"
"INTRO1-5_ZERO","事故現場に着いたら救急メカ頼む"
"INTRO1-6_ZERO","了解。気をつけてゼロ！…てかその髪どうなってるの？戦闘中邪魔じゃない？"
"INTRO2-1_ZERO","な…なんだ？シグマだと…？"
"INTRO2-2_ZERO","事故から身を守るために…"
"INTRO2-3_ZERO","頑丈なボディをコピーしていたのです"
"INTRO2-4_ZERO","私たち新世代型には耐久コピー機能がありますから"
"INTRO2-5_ZERO","シグマコピーしても何の問題もありません"
"INTRO2-6_ZERO","何者だ。名を名乗れ！（ｷﾘｯ）"
"INTRO2-7_ZERO","私は…ルミネ"
"INTRO2-8_ZERO","この軌道エレベーター、ヤコブの管理者です"
"INTRO2-9_ZERO","ふむ。そこで待ってろ。すぐ救急部隊を…"
"INTRO3-1_ZERO","ｸｸｸ…また会えたな、ゼロ！"
"INTRO3-2_ZERO","VAVA？どうやら気配を感知した報告は本当だったか"
"INTRO3-3_ZERO","おまえと遊びたいが、まだ仕事が残ってるんだ"
